Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA02059,OMA00059,Metabolic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA00059,OMA02309,Metabolic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA00059,OMA03531,Metabolic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA01153,OMA00398,Metabolic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA03198,OMA01160,Metabolic,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA03054,OMA01171,Metabolic,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA01171,OMA01451,Metabolic,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA03054,OMA01451,Metabolic,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA02059,OMA03531,Metabolic,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA02309,OMA03531,Metabolic,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA00261,OMA00594,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA01001,OMA00594,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA02815,OMA00594,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA03070,OMA00594,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA00746,OMA00743,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA01146,OMA00743,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA02091,OMA00743,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA04579,OMA00743,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA00261,OMA01001,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA02815,OMA01001,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA03070,OMA01001,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA00746,OMA01146,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA02091,OMA01146,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA04579,OMA01146,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
OMA04727,OMA01699,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PMID:31455646
