Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA06384,OMA04394,Protein-protein interaction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA01913,OMA06384,Protein-protein interaction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA06384,OMA06384,Protein-protein interaction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct_Interactome3d
OMA06429,OMA05016,Protein-protein interaction,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA06429,OMA06204,Protein-protein interaction,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA04322,OMA06429,Protein-protein interaction,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA06429,OMA06429,Protein-protein interaction,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interactome3d
OMA00394,OMA06020,Protein-protein interaction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA00616,OMA06020,Protein-protein interaction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02003,OMA06020,Protein-protein interaction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA01914,OMA00057,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA01914,OMA00340,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA03633,OMA00438,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA03590,OMA01263,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA00288,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA00397,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA00795,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02814,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02909,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02985,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA03046,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA04049,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA04555,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA04696,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA04704,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA05397,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA05750,OMA01914,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02828,OMA02828,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Interactome3d
OMA02937,OMA02902,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02661,OMA02949,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA03155,OMA02973,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA01914,OMA03090,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA03547,OMA03547,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Interactome3d
OMA00225,OMA04708,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA01723,OMA04780,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA00225,OMA05349,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IntAct
OMA02985,OMA04863,Protein-protein interaction,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IntAct
OMA01862,OMA05567,Protein-protein interaction,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IntAct
OMA06026,OMA01462,Protein-protein interaction,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IntAct
OMA03050,OMA03050,Protein-protein interaction,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Interactome3d
OMA05373,OMA04615,Protein-protein interaction,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Lit_Ecoli_IntAct
OMA00397,OMA00951,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA00197,OMA01618,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA00727,OMA01618,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA02093,OMA02093,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA01472,OMA02123,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA02693,OMA02693,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA02875,OMA02875,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA02890,OMA02890,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA05691,OMA02890,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct_Interactome3d
OMA02890,OMA02999,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA04762,OMA02999,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA05691,OMA02999,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct_Interactome3d
OMA03347,OMA03347,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA03624,OMA03347,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA05016,OMA03347,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA05691,OMA03467,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA03720,OMA03720,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA05868,OMA04035,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
OMA03467,OMA04276,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA04762,OMA04762,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct_Interactome3d
OMA05691,OMA04762,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct
