Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STY0146,STM0126,SALTY00125,STY3744,STM4130,SALTY03981,OMA01153,OMA00398,PMID:31455646,Salmonella_typhi,Metabolic
STY2824,STM2578,SALTY02487,STY0243,STM0220,SALTY00219,OMA03198,OMA01160,PMID:31455646,Salmonella_typhi,Metabolic
STY3725,STM4160,SALTY04001,STY1673,STM1449,SALTY01394,OMA03054,OMA01171,PMID:31455646,Salmonella_typhi,Metabolic
STY1673,STM1449,SALTY01394,STY1000,STM0998,SALTY00966,OMA01171,OMA01451,PMID:31455646,Salmonella_typhi,Metabolic
STY3725,STM4160,SALTY04001,STY1000,STM0998,SALTY00966,OMA03054,OMA01451,PMID:31455646,Salmonella_typhi,Metabolic
STY0974,STM0974,SALTY00942,STY3842,STM4035,SALTY03887,OMA02059,OMA03531,PMID:31455646,Salmonella_typhi,Metabolic
STY3841,STM4036,SALTY03888,STY3842,STM4035,SALTY03887,OMA02309,OMA03531,PMID:31455646,Salmonella_typhi,Metabolic
NA,STM2961,SALTY02856,,STM3698,SALTY03569,OMA01025,OMA01095,PMID:31455646,Salmonella_typhi,Metabolic
STY0120,STM0103,SALTY00102,STY4122,STM3674,SALTY03545,OMA00504,OMA00719,PMID:31455646,Salmonella_typhi,Metabolic
STY4122,STM3674,SALTY03545,STY3819,STM4053,SALTY03906,OMA00719,OMA04167,PMID:31455646,Salmonella_typhi,Metabolic
STY4743,STM4387,SALTY04220,STY4122,STM3674,SALTY03545,OMA02598,OMA00719,PMID:31455646,Salmonella_typhi,Metabolic
STY4742,STM4386,SALTY04219,STY4122,STM3674,SALTY03545,OMA03374,OMA00719,PMID:31455646,Salmonella_typhi,Metabolic
STY4121,STM3675,SALTY03546,STY4122,STM3674,SALTY03545,OMA03509,OMA00719,PMID:31455646,Salmonella_typhi,Metabolic
STY4122,STM3674,SALTY03545,STY3820,STM4052,SALTY03905,OMA00719,OMA01188,PMID:31455646,Salmonella_typhi,Metabolic
STY4122,STM3674,SALTY03545,STY3827,STM4046,SALTY03899,OMA00719,OMA01214,PMID:31455646,Salmonella_typhi,Metabolic
STY4122,STM3674,SALTY03545,STY4126,STM3672,SALTY03543,OMA00719,OMA01236,PMID:31455646,Salmonella_typhi,Metabolic
STY4122,STM3674,SALTY03545,STY4130,STM3668,SALTY03539,OMA00719,OMA01981,PMID:31455646,Salmonella_typhi,Metabolic
