Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SSPA_RS14330,STM2960,SALTY02855,SSPA_RS17970,STM3698,SALTY03569,OMA01006,OMA01095,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15820,STM3255,SALTY03141,SSPA_RS02155,STM2432,SALTY02342,OMA00886,OMA00524,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15825,STM3256,SALTY03142,SSPA_RS02155,STM2432,SALTY02342,OMA02849,OMA00524,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15830,STM3257,SALTY03143,SSPA_RS15815,STM3254,SALTY03140,OMA01187,OMA02345,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS02155,STM2432,SALTY02342,SSPA_RS15820,STM3255,SALTY03141,OMA00524,OMA00886,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS02155,STM2432,SALTY02342,SSPA_RS15825,STM3256,SALTY03142,OMA00524,OMA02849,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15815,STM3254,SALTY03140,SSPA_RS15820,STM3255,SALTY03141,OMA02345,OMA00886,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS07585,STM1326,SALTY01274,SSPA_RS15820,STM3255,SALTY03141,OMA02353,OMA00886,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15820,STM3255,SALTY03141,SSPA_RS15825,STM3256,SALTY03142,OMA00886,OMA02849,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15815,STM3254,SALTY03140,SSPA_RS15825,STM3256,SALTY03142,OMA02345,OMA02849,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS07585,STM1326,SALTY01274,SSPA_RS15825,STM3256,SALTY03142,OMA02353,OMA02849,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15825,STM3256,SALTY03142,SSPA_RS15820,STM3255,SALTY03141,OMA02849,OMA00886,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15815,STM3254,SALTY03140,SSPA_RS02155,STM2432,SALTY02342,OMA02345,OMA00524,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15810,STM3253,SALTY03139,SSPA_RS15815,STM3254,SALTY03140,OMA02053,OMA02345,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS07585,STM1326,SALTY01274,SSPA_RS15815,STM3254,SALTY03140,OMA02353,OMA02345,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15815,STM3254,SALTY03140,SSPA_RS07585,STM1326,SALTY01274,OMA02345,OMA02353,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS11005,STM0532,SALTY00521,SSPA_RS18830,STM3877,SALTY03748,OMA02524,OMA02031,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS13435,STM2791,SALTY02691,SSPA_RS13440,STM2792,SALTY02692,OMA00850,OMA01204,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS00575,STM0111,SALTY00110,SSPA_RS00580,STM0112,SALTY00111,OMA00914,OMA01717,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS00570,STM0110,SALTY00109,SSPA_RS00580,STM0112,SALTY00111,OMA03722,OMA01717,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS00575,STM0111,SALTY00110,SSPA_RS00570,STM0110,SALTY00109,OMA00914,OMA03722,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS10145,STM0719,SALTY00698,SSPA_RS09900,STM0775,SALTY00748,OMA01384,OMA01753,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS10145,STM0719,SALTY00698,SSPA_RS09895,STM0776,SALTY00749,OMA01384,OMA01904,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS15810,STM3253,SALTY03139,SSPA_RS15830,STM3257,SALTY03143,OMA02053,OMA01187,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS20865,STM4306,SALTY04143,OMA03578,OMA03539,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,,STM4305,SALTY04142,OMA03578,OMA00169,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,,STM2530,SALTY02439,OMA03578,OMA00176,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS09185,STM0964,SALTY00933,OMA03578,OMA00161,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS01680,STM2528,SALTY02437,OMA03578,OMA02847,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS20870,STM4307,SALTY04144,OMA03578,OMA03040,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS01675,STM2529,SALTY02438,OMA03578,OMA03552,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS06785,STM0965,SALTY00934,OMA03578,OMA03577,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS06780,STM1499,SALTY01441,SSPA_RS09180,STM1497,SALTY01439,OMA00163,OMA03578,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS06790,STM1496,SALTY01438,SSPA_RS09180,STM1497,SALTY01439,OMA02624,OMA03578,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS06785,STM0965,SALTY00934,SSPA_RS09180,STM1497,SALTY01439,OMA03577,OMA03578,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS09180,STM1497,SALTY01439,SSPA_RS09180,STM1497,SALTY01439,OMA03578,OMA03578,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS21525,STM4453,SALTY04286,SSPA_RS02155,STM2432,SALTY02342,OMA00517,OMA00524,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
SSPA_RS17100,STM3513,SALTY03387,SSPA_RS17800,STM3664,SALTY03535,OMA00291,OMA00306,PMID:31455646,Salmonella_paratyphi_A_AKU_12601,Metabolic
