Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SPA_RS06415,STM1588,SALTY01529,SPA_RS05860,STM1705,SALTY01646,OMA03508,OMA05846,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS10950,STM0550,SALTY00539,SPA_RS20630,STM4257,SALTY04094,OMA03197,OMA03605,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS02975,STM2270,SALTY02187,SPA_RS05860,STM1705,SALTY01646,OMA03395,OMA05846,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS20935,STM4314,SALTY04151,SPA_RS05860,STM1705,SALTY01646,OMA05381,OMA05846,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS03090,STM2246,SALTY02170,SPA_RS18605,STM3818,SALTY03690,OMA03346,OMA03604,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS00595,STM0115,SALTY00114,SPA_RS14765,STM3041,SALTY02930,OMA01895,OMA01691,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS13810,STM2859,SALTY02754,NA,STM4285,SALTY04122,OMA00257,OMA00258,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS13890,STM2875,SALTY02770,SPA_RS21360,STY4755,SALTI04352,OMA02238,OMA01522,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS13850,STM2867,SALTY02762,SPA_RS21360,STY4755,SALTI04352,OMA02430,OMA01522,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS11190,STM0499,SALTY00488,SPA_RS21360,STY4755,SALTI04352,OMA04660,OMA01522,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS10840,STM0580,SALTY00566,SPA_RS17390,STM3580,SALTY03452,OMA03830,OMA04001,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS16895,STM3466,SALTY03341,SPA_RS17515,STM3601,SALTY03473,OMA03616,OMA02045,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS21625,STM4467,SALTY04299,SPA_RS10830,STM0582,SALTY00568,OMA01319,OMA05639,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS10950,STM0550,SALTY00539,SPA_RS06980,STM1462,SALTY01407,OMA03197,OMA01636,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS00595,STM0115,SALTY00114,SPA_RS17315,STM3565,SALTY03437,OMA01895,OMA04830,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS10305,STM0693,SALTY00672,SPA_RS06495,STM1572,SALTY01513,OMA04467,OMA01722,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS13890,STM2875,SALTY02770,SPA_RS06495,STM1572,SALTY01513,OMA02238,OMA01722,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS16490,STM3385,SALTY03268,NA,STM0098,SALTY00097,OMA05327,OMA03133,Exp(HT),Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS09505,STM0869,SALTY00840,SPA_RS06870,STM1485,SALTY01427,OMA03634,OMA05431,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS08120,STM1231,SALTY01183,SPA_RS06495,STM1572,SALTY01513,OMA03453,OMA01722,Exp(HT);Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS22240,STM4580,SALTY04408,SPA_RS01380,STM2641,SALTY02550,OMA01097,OMA00589,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS06130,STM1660,SALTY01601,SPA_RS18605,STM3818,SALTY03690,OMA02723,OMA03604,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS09905,STM0779,SALTY00752,SPA_RS18605,STM3818,SALTY03690,OMA02954,OMA03604,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS05555,STM1767,SALTY01705,SPA_RS18605,STM3818,SALTY03690,OMA03598,OMA03604,RegulonDB,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
SPA_RS09630,STM0835,SALTY00806,SPA_RS17390,STM3580,SALTY03452,OMA04394,OMA04001,Salm,Salmonella_paratyphi_A_ATCC_9150_SARB42,Regulatory
