Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SESA_RS01215,STM0115,SALTY00114,SESA_RS17915,STM3478,SALTY03353,OMA01895,OMA00008,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS04110,STM0581,SALTY00567,SESA_RS17915,STM3478,SALTY03353,OMA05046,OMA00008,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS12450,STM2270,SALTY02187,SESA_RS16560,STM3201,SALTY03089,OMA03395,OMA00087,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS07690,STM1391,SALTY01338,SESA_RS21875,STM4264,SALTY04101,OMA03568,OMA00602,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS01155,STM0104,SALTY00103,SESA_RS15240,STM2943,SALTY02838,OMA02591,OMA00644,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS01155,STM0104,SALTY00103,SESA_RS04615,STM0687,SALTY00666,OMA02591,OMA00840,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
,STM0580,SALTY00566,SESA_RS00850,STM0042,SALTY00042,OMA03830,OMA00868,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS03205,STM0499,SALTY00488,SESA_RS07575,STM1368,SALTY01315,OMA04660,OMA01055,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS03365,STM0550,SALTY00539,SESA_RS04070,STM0564,SALTY00550,OMA03197,OMA01116,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS14920,STM2876,SALTY02771,SESA_RS16200,SeSA_A3313,SALSV03063,OMA00542,OMA01149,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS12450,STM2270,SALTY02187,SESA_RS16200,SeSA_A3313,SALSV03063,OMA03395,OMA01149,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS22030,STM4292,SALTY04129,SESA_RS07540,STM1360,SALTY01308,OMA03507,OMA01312,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS01215,STM0115,SALTY00114,SESA_RS16140,STM3123,SALTY03011,OMA01895,OMA01373,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS12450,STM2270,SALTY02187,SESA_RS16140,STM3123,SALTY03011,OMA03395,OMA01373,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS17450,STM3385,SALTY03268,SESA_RS09145,STM1672,SALTY01612,OMA05327,OMA01494,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS14915,STM2875,SALTY02770,SESA_RS21765,STY4552,SALTI04157,OMA02238,OMA01525,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS22030,STM4292,SALTY04129,SESA_RS08395,STM1530,SALTY01472,OMA03507,OMA01606,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
SESA_RS08715,STM1588,SALTY01529,SESA_RS06010,STM1070,SALTY01026,OMA03508,OMA01641,Salm,Salmonella_schwarzengrund_CVM19633,Regulatory
