Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STM474_RS12970,STM2530,SALTY02439,STM474_RS07445,STM1498,SALTY01440,OMA00176,OMA00165,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22110,STM4306,SALTY04143,STM474_RS07445,STM1498,SALTY01440,OMA03539,OMA00165,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS07440,STM1497,SALTY01439,STM474_RS07445,STM1498,SALTY01440,OMA03578,OMA00165,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS08610,STM1723,SALTY01664,STM474_RS08615,STM1724,SALTY01665,OMA00669,OMA00636,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS10710,STM2082,SALTY02008,OMA01650,OMA00792,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS17085,STM3307,SALTY03190,OMA01650,OMA01303,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS00635,STM0125,SALTY00124,OMA01650,OMA01729,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS00650,STM0128,SALTY00127,OMA01650,OMA01776,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS11795,STM2298,SALTY02215,OMA01650,OMA02076,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS01155,STM0228,SALTY00227,OMA01650,OMA02892,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20155,STM3918,SALTY03780,STM474_RS05900,STM1196,SALTY01148,OMA01650,OMA05716,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22710,STM4424,SALTY04257,STM474_RS14250,STM2753,SALTY02654,OMA02278,OMA01903,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS14250,STM2753,SALTY02654,STM474_RS22715,STM4425,SALTY04258,OMA01903,OMA01936,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS20195,STM3926,SALTY03788,STM474_RS11465,STM2232,SALTY02156,OMA01323,OMA00411,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22745,STM4433,SALTY04266,STM474_RS05570,STM1133,SALTY01087,OMA01868,OMA01632,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22710,STM4424,SALTY04257,STM474_RS05570,STM1133,SALTY01087,OMA02278,OMA01632,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS11465,STM2232,SALTY02156,STM474_RS10735,STM2087,SALTY02013,OMA00411,OMA01942,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS14250,STM2753,SALTY02654,STM474_RS05570,STM1133,SALTY01087,OMA01903,OMA01632,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS14250,STM2753,SALTY02654,STM474_RS18315,STM3553,SALTY03425,OMA01903,OMA03109,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22715,STM4425,SALTY04258,STM474_RS22745,STM4433,SALTY04266,OMA01936,OMA01868,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22710,STM4424,SALTY04257,STM474_RS22745,STM4433,SALTY04266,OMA02278,OMA01868,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22745,STM4433,SALTY04266,STM474_RS22715,STM4425,SALTY04258,OMA01868,OMA01936,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22710,STM4424,SALTY04257,STM474_RS22715,STM4425,SALTY04258,OMA02278,OMA01936,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22745,STM4433,SALTY04266,STM474_RS18315,STM3553,SALTY03425,OMA01868,OMA03109,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
STM474_RS22715,STM4425,SALTY04258,STM474_RS18315,STM3553,SALTY03425,OMA01936,OMA03109,PMID:31455646,Salmonella_typhimurium_4_74,Metabolic
