Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SNSL254_RS03995,STM0581,SALTY00567,SNSL254_RS14600,STM2641,SALTY02550,OMA05046,OMA00589,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS07415,STM1231,SALTY01183,SNSL254_RS04805,STM0740,SALTY00719,OMA03453,OMA00646,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS07415,STM1231,SALTY01183,SNSL254_RS07810,STM1303,SALTY01251,OMA03453,OMA01356,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS15645,STM2875,SALTY02770,SNSL254_RS15045,SL1344_2712,SALTS02699,OMA02238,OMA01429,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS23970,STM4511,SALTY04342,SNSL254_RS08925,STM1530,SALTY01472,OMA02349,OMA01606,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS04560,STM0693,SALTY00672,SNSL254_RS09055,STM1555,SALTY01496,OMA04467,OMA01963,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS17950,STM3320,SALTY03203,SNSL254_RS09745,STM1691,SALTY01631,OMA00842,OMA02055,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS22765,STM4265,SALTY04102,SNSL254_RS09870,STM1713,SALTY01654,OMA05145,OMA02098,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS18865,STM3502,SALTY03376,SNSL254_RS19355,STM3607,SALTY03479,OMA03233,OMA02399,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS17950,STM3320,SALTY03203,SNSL254_RS09740,STM1690,SALTY01630,OMA00842,OMA03503,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS04560,STM0693,SALTY00672,SNSL254_RS20085,STM3756,SALTY03626,OMA04467,OMA03649,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS18865,STM3502,SALTY03376,SNSL254_RS19350,STM3606,SALTY03478,OMA03233,OMA03731,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS07415,STM1231,SALTY01183,SNSL254_RS06535,SPC_1034,SALPC00991,OMA03453,OMA03844,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS18690,STM3466,SALTY03341,SNSL254_RS06535,SPC_1034,SALPC00991,OMA03616,OMA03844,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS01615,STM0115,SALTY00114,SNSL254_RS23880,SeSA_A0383,SALSV00350,OMA01895,OMA03852,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS03855,STM0550,SALTY00539,SNSL254_RS23880,SeSA_A0383,SALSV00350,OMA03197,OMA03852,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS18865,STM3502,SALTY03376,SNSL254_RS23880,SeSA_A0383,SALSV00350,OMA03233,OMA03852,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS09225,STM1588,SALTY01529,SNSL254_RS23880,SeSA_A0383,SALSV00350,OMA03508,OMA03852,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS03990,STM0580,SALTY00566,SNSL254_RS23880,SeSA_A0383,SALSV00350,OMA03830,OMA03852,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS08235,STM1391,SALTY01338,SNSL254_RS14875,SL1344_1929,SALTS01918,OMA03568,OMA03858,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS23970,STM4511,SALTY04342,SNSL254_RS08920,STM1528,SALTY01470,OMA02349,OMA04010,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS09225,STM1588,SALTY01529,SNSL254_RS12665,STM2262,SALTY02180,OMA03508,OMA04176,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS09225,STM1588,SALTY01529,SNSL254_RS12660,STM2261,SALTY02179,OMA03508,OMA04182,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS23020,STM4315,SALTY04152,SNSL254_RS14670,STM2655,SALTY02564,OMA02510,OMA04408,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS21095,STM3964,SALTY03821,SNSL254_RS01635,STM0119,SALTY00118,OMA02167,OMA04443,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS18865,STM3502,SALTY03376,SNSL254_RS19235,STM3584,SALTY03456,OMA03233,OMA04548,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS23015,STM4314,SALTY04151,SNSL254_RS24040,STM4523,SALTY04354,OMA05381,OMA04725,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS05725,STM0959,SALTY00928,SNSL254_RS02480,SPC_0292,SALPC00283,OMA04295,OMA05850,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS04560,STM0693,SALTY00672,SNSL254_RS07710,SNSL254_A1393,SALNS01308,OMA04467,OMA05923,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS03995,STM0581,SALTY00567,SNSL254_RS25525,STM14_3236,SALT103117,OMA05046,OMA06081,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS23750,STM4467,SALTY04299,SNSL254_RS21315,SPAB_04973,SALPB04779,OMA01319,OMA06095,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS15645,STM2875,SALTY02770,SNSL254_RS11410,SPAB_01095,SALPB01057,OMA02238,OMA06123,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS22910,STM4292,SALTY04129,SNSL254_RS11410,SPAB_01095,SALPB01057,OMA03507,OMA06123,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS09225,STM1588,SALTY01529,SNSL254_RS14985,SPC_0880,SALPC00851,OMA03508,OMA06192,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS07415,STM1231,SALTY01183,SNSL254_RS14545,STM2630,SALTY02539,OMA03453,OMA06221,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS08500,STM1444,SALTY01389,SNSL254_RS20665,SPC_3957,SALPC03792,OMA04566,OMA06247,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS01615,STM0115,SALTY00114,SNSL254_RS26030,SNSL254_A4842,SALNS04493,OMA01895,OMA06396,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS03855,STM0550,SALTY00539,SNSL254_RS26030,SNSL254_A4842,SALNS04493,OMA03197,OMA06396,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS18865,STM3502,SALTY03376,SNSL254_RS26030,SNSL254_A4842,SALNS04493,OMA03233,OMA06396,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS09225,STM1588,SALTY01529,SNSL254_RS26030,SNSL254_A4842,SALNS04493,OMA03508,OMA06396,Salm,Salmonella_newport_SL254,Regulatory
SNSL254_RS03990,STM0580,SALTY00566,SNSL254_RS26030,SNSL254_A4842,SALNS04493,OMA03830,OMA06396,Salm,Salmonella_newport_SL254,Regulatory
