Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
,STM3351,SALTY03234,SPAB_RS17730,STM3500,SALTY03374,OMA01270,OMA00607,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
,STM3351,SALTY03234,SPAB_RS11400,STM0730,SALTY00709,OMA01270,OMA01123,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
,STM3351,SALTY03234,SPAB_RS13180,STM0369,SALTY00358,OMA01270,OMA01465,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
,STM3351,SALTY03234,SPAB_RS05330,STM1884,SALTY01823,OMA01270,OMA03656,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS15000,STM2961,SALTY02856,SPAB_RS18685,STM3698,SALTY03569,OMA01025,OMA01095,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS19810,STM3926,SALTY03788,SPAB_RS03180,STM2232,SALTY02156,OMA01323,OMA00411,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22775,STM4433,SALTY04266,SPAB_RS09795,STM1133,SALTY01087,OMA01868,OMA01632,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22740,STM4424,SALTY04257,SPAB_RS09795,STM1133,SALTY01087,OMA02278,OMA01632,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS03180,STM2232,SALTY02156,SPAB_RS03910,STM2087,SALTY02013,OMA00411,OMA01942,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22745,STM4425,SALTY04258,SPAB_RS22775,STM4433,SALTY04266,OMA01936,OMA01868,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22740,STM4424,SALTY04257,SPAB_RS22775,STM4433,SALTY04266,OMA02278,OMA01868,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22775,STM4433,SALTY04266,SPAB_RS22745,STM4425,SALTY04258,OMA01868,OMA01936,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22740,STM4424,SALTY04257,SPAB_RS22745,STM4425,SALTY04258,OMA02278,OMA01936,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22775,STM4433,SALTY04266,SPAB_RS17955,STM3553,SALTY03425,OMA01868,OMA03109,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22745,STM4425,SALTY04258,SPAB_RS17955,STM3553,SALTY03425,OMA01936,OMA03109,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS18565,STM3674,SALTY03545,SPAB_RS16075,STM3171,SALTY03059,OMA00719,OMA01179,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS18565,STM3674,SALTY03545,SPAB_RS16065,STM3169,SALTY03057,OMA00719,OMA02075,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS18565,STM3674,SALTY03545,SPAB_RS16070,STM3170,SALTY03058,OMA00719,OMA04280,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS21595,STM4300,SALTY04137,SPAB_RS11235,STM0761,SALTY00735,OMA00572,OMA04037,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS21595,STM4300,SALTY04137,SPAB_RS11230,STM0762,SALTY00736,OMA00572,OMA02461,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS18565,STM3674,SALTY03545,SPAB_RS20440,STM4054,SALTY03907,OMA00719,OMA02072,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS18565,STM3674,SALTY03545,SPAB_RS18560,STM3673,SALTY03544,OMA00719,OMA02089,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS00510,STM0103,SALTY00102,SPAB_RS18565,STM3674,SALTY03545,OMA00504,OMA00719,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS18565,STM3674,SALTY03545,SPAB_RS20435,STM4053,SALTY03906,OMA00719,OMA04167,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22545,STM4387,SALTY04220,SPAB_RS18565,STM3674,SALTY03545,OMA02598,OMA00719,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
SPAB_RS22540,STM4386,SALTY04219,SPAB_RS18565,STM3674,SALTY03545,OMA03374,OMA00719,PMID:31455646,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Metabolic
