Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SBG_RS19555,STM4292,SALTY04129,SBG_RS12375,SL1344_2661,SALTS02649,OMA03507,OMA00002,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS12825,STM2866,SALTY02761,SBG_RS16025,STM3478,SALTY03353,OMA03001,OMA00008,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS03780,STM0835,SALTY00806,SBG_RS18995,STM4153,SALTY03994,OMA04394,OMA00018,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS12875,STM2876,SALTY02771,SBG_RS05645,SBG_1083,SALBC01079,OMA00542,OMA00046,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS12825,STM2866,SALTY02761,SBG_RS02875,STM0648,SALTY00634,OMA03001,OMA00086,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS15965,STM3466,SALTY03341,SBG_RS02875,STM0648,SALTY00634,OMA03616,OMA00086,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS10615,STM2270,SALTY02187,SBG_RS20685,STM4534,SALTY04365,OMA03395,OMA00095,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS12875,STM2876,SALTY02771,SBG_RS04485,STM1057,SALTY01013,OMA00542,OMA00096,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS12990,STM2899,SALTY02794,SBG_RS04485,STM1057,SALTY01013,OMA03047,OMA00096,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
SBG_RS00455,STM0104,SALTY00103,SBG_RS16220,STM3515,SALTY03389,OMA02591,OMA00106,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
,STM0550,SALTY00539,SBG_RS16220,STM3515,SALTY03389,OMA03197,OMA00106,Salm,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Regulatory
