Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STMMW_RS12430,STM2385,SALTY02302,STMMW_RS13465,STM2588,SALTY02498,OMA02224,OMA00207,IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS13455,STM2586,SALTY02496,STMMW_RS21905,STM4263,SALTY04100,OMA03849,OMA05413,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS23370,STM4550,SALTY04381,STMMW_RS11695,STM2239,SALTY02163,OMA02844,OMA04929,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS11665,STM2234,SALTY02158,STMMW_RS21905,STM4263,SALTY04100,OMA04116,OMA05413,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS11700,STM2240,SALTY02164,STMMW_RS15795,STM3086,SALTY02975,OMA01951,OMA00334,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS13455,STM2586,SALTY02496,STMMW_RS04225,STM0776,SALTY00749,OMA03849,OMA01904,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS13455,STM2586,SALTY02496,STMMW_RS03480,STM0631,SALTY00617,OMA03849,OMA02916,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS19940,STM3867,SALTY03738,STMMW_RS13455,STM2586,SALTY02496,OMA00713,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS04215,STM0774,SALTY00747,STMMW_RS13455,STM2586,SALTY02496,OMA01541,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS03335,STM0602,SALTY00588,STMMW_RS13455,STM2586,SALTY02496,OMA01743,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS20610,STM4006,SALTY03858,STMMW_RS13455,STM2586,SALTY02496,OMA01862,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS05110,STM0990,SALTY00958,STMMW_RS13455,STM2586,SALTY02496,OMA02960,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS18545,STM3593,SALTY03465,STMMW_RS13455,STM2586,SALTY02496,OMA03072,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS21070,STM4096,SALTY03949,STMMW_RS13455,STM2586,SALTY02496,OMA05317,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS15870,STM3102,SALTY02991,STMMW_RS13455,STM2586,SALTY02496,OMA05372,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS04710,STM0872,SALTY00843,STMMW_RS13455,STM2586,SALTY02496,OMA05503,OMA03849,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS13455,STM2586,SALTY02496,STMMW_RS02290,STM0389,SALTY00378,OMA03849,OMA05970,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS22250,STM4328,SALTY04164,STMMW_RS13465,STM2588,SALTY02498,OMA01257,OMA00207,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS04520,STM0835,SALTY00806,STMMW_RS22740,STM4425,SALTY04258,OMA04394,OMA01936,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS22750,STM4427,SALTY04260,STMMW_RS16110,STM3149,SALTY03037,OMA02673,OMA01988,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS08050,STM1566,SALTY01507,STMMW_RS23485,STM4573,SALTY04401,OMA00489,OMA03308,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS12725,STM2440,SALTY02350,STMMW_RS23485,STM4573,SALTY04401,OMA02396,OMA03308,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
STMMW_RS23485,STM4573,SALTY04401,STMMW_RS17920,STM3466,SALTY03341,OMA03308,OMA03616,Lit_Ecoli_IntAct,Salmonella_typhimurium_D23580,Protein-protein interaction
