Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STY2988,STM2867,SALTY02762,STY2812,STM2565,SALTY02474,OMA02430,OMA00023,Salm,Salmonella_typhi,Regulatory
STY3595,STM3964,SALTY03821,STY1226,STM1185,SALTY01138,OMA02167,OMA00054,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY0699,STM0648,SALTY00634,OMA00542,OMA00086,Salm,Salmonella_typhi,Regulatory
STY1771,STM1339,SALTY01287,STY0699,STM0648,SALTY00634,OMA05341,OMA00086,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY2496,STM2271,SALTY02188,OMA02510,OMA00088,Salm,Salmonella_typhi,Regulatory
STY4294,STM3502,SALTY03376,STY4450,STM4254,SALTY04091,OMA03233,OMA00091,Salm,Salmonella_typhi,Regulatory
STY1477,STM1588,SALTY01529,STY0324,STY0324,SALTI00293,OMA03508,OMA00103,Salm,Salmonella_typhi,Regulatory
STY0876,STM0835,SALTY00806,STY0324,STY0324,SALTI00293,OMA04394,OMA00103,Salm,Salmonella_typhi,Regulatory
STY1771,STM1339,SALTY01287,STY0324,STY0324,SALTI00293,OMA05341,OMA00103,Salm,Salmonella_typhi,Regulatory
STY3499,STM3320,SALTY03203,STY3071,STM2944,SALTY02839,OMA00842,OMA00112,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY3033,STM2909,SALTY02804,OMA00542,OMA00149,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY2744,STM2503,SALTY02412,OMA00542,OMA00234,Salm,Salmonella_typhi,Regulatory
NA,STM2866,SALTY02761,STY2744,STM2503,SALTY02412,OMA03001,OMA00234,Salm,Salmonella_typhi,Regulatory
STY0957,STM0959,SALTY00928,STY2744,STM2503,SALTY02412,OMA04295,OMA00234,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY2744,STM2503,SALTY02412,OMA04467,OMA00234,Salm,Salmonella_typhi,Regulatory
STY0545,STM0499,SALTY00488,STY2744,STM2503,SALTY02412,OMA04660,OMA00234,Salm,Salmonella_typhi,Regulatory
STY4514,STM4314,SALTY04151,STY2744,STM2503,SALTY02412,OMA05381,OMA00234,Salm,Salmonella_typhi,Regulatory
STY4867,STM4511,SALTY04342,STY3342,STM3168,SALTY03056,OMA02349,OMA00239,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY3342,STM3168,SALTY03056,OMA03568,OMA00239,Salm,Salmonella_typhi,Regulatory
,STM0354,SALTY00343,STY3342,STM3168,SALTY03056,OMA04412,OMA00239,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY3342,STM3168,SALTY03056,OMA04467,OMA00239,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY3153,STM3010,SALTY02901,OMA02510,OMA00266,Salm,Salmonella_typhi,Regulatory
STY4294,STM3502,SALTY03376,STY4473,STM4275,SALTY04112,OMA03233,OMA00354,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY4592,STY4592,SALTI04193,OMA00542,OMA00361,Salm,Salmonella_typhi,Regulatory
STY0138,STM0118,SALTY00117,STY4592,STY4592,SALTI04193,OMA02001,OMA00361,Salm,Salmonella_typhi,Regulatory
NA,STM0550,SALTY00539,STY4592,STY4592,SALTI04193,OMA03197,OMA00361,Salm,Salmonella_typhi,Regulatory
STY2495,STM2270,SALTY02187,STY4592,STY4592,SALTI04193,OMA03395,OMA00361,Salm,Salmonella_typhi,Regulatory
,STM0354,SALTY00343,STY4592,STY4592,SALTI04193,OMA04412,OMA00361,Salm,Salmonella_typhi,Regulatory
NA,STM1444,SALTY01389,STY4592,STY4592,SALTI04193,OMA04566,OMA00361,Salm,Salmonella_typhi,Regulatory
STY0545,STM0499,SALTY00488,STY4592,STY4592,SALTI04193,OMA04660,OMA00361,Salm,Salmonella_typhi,Regulatory
STY3565,STM3385,SALTY03268,STY4592,STY4592,SALTI04193,OMA05327,OMA00361,Salm,Salmonella_typhi,Regulatory
STY1271,STM1231,SALTY01183,STY2629,STY2629,SALTI02399,OMA03453,OMA00375,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY0257,STM0233,SALTY00232,OMA02510,OMA00458,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY1304,STM1746,SALTY01687,OMA04467,OMA00475,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY2999,STM2876,SALTY02771,OMA03568,OMA00542,Salm,Salmonella_typhi,Regulatory
STY1647,STM1475,SALTY01417,STY0747,STM0706,SALTY00685,OMA03205,OMA00557,Salm,Salmonella_typhi,Regulatory
STY1477,STM1588,SALTY01529,STY0747,STM0706,SALTY00685,OMA03508,OMA00557,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY0786,STM0740,SALTY00719,OMA03568,OMA00646,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY0376,STM0343,SALTY00332,OMA02510,OMA00653,Salm,Salmonella_typhi,Regulatory
STY1271,STM1231,SALTY01183,STY1958,STM1828,SALTY01766,OMA03453,OMA00692,Salm,Salmonella_typhi,Regulatory
NA,STM0581,SALTY00567,STY1958,STM1828,SALTY01766,OMA05046,OMA00692,Salm,Salmonella_typhi,Regulatory
NA,STM4265,SALTY04102,STY1958,STM1828,SALTY01766,OMA05145,OMA00692,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY4664,STY4664,SALTI04260,OMA04467,OMA00696,Salm,Salmonella_typhi,Regulatory
STY4514,STM4314,SALTY04151,STY4664,STY4664,SALTI04260,OMA05381,OMA00696,Salm,Salmonella_typhi,Regulatory
NA,STM0581,SALTY00567,STY4816,STM4477,SALTY04309,OMA05046,OMA00729,Salm,Salmonella_typhi,Regulatory
,STM0354,SALTY00343,STY4489,STM4290,SALTY04127,OMA04412,OMA00740,Salm,Salmonella_typhi,Regulatory
,STM0354,SALTY00343,NA,STM1846,SALTY01784,OMA04412,OMA03421,Salm,Salmonella_typhi,Regulatory
STY0545,STM0499,SALTY00488,STY4489,STM4290,SALTY04127,OMA04660,OMA00740,Salm,Salmonella_typhi,Regulatory
STY0545,STM0499,SALTY00488,NA,STM1846,SALTY01784,OMA04660,OMA03421,Salm,Salmonella_typhi,Regulatory
STY4294,STM3502,SALTY03376,STY4475,STM4277,SALTY04114,OMA03233,OMA00779,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY0438,STM0400,SALTY00389,OMA02510,OMA00828,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY1353,STM1698,SALTY01638,OMA02510,OMA00943,Salm,Salmonella_typhi,Regulatory
NA,STM2866,SALTY02761,STY1353,STM1698,SALTY01638,OMA03001,OMA00943,Salm,Salmonella_typhi,Regulatory
NA,STM2866,SALTY02761,STY1645,STM1477,SALTY01419,OMA03001,OMA00994,Salm,Salmonella_typhi,Regulatory
STY3565,STM3385,SALTY03268,,STM0436,SALTY00425,OMA05327,OMA01022,Salm,Salmonella_typhi,Regulatory
NA,STM0581,SALTY00567,STY2338,STM2125,SALTY02051,OMA05046,OMA01031,Salm,Salmonella_typhi,Regulatory
STY1271,STM1231,SALTY01183,STY1251,STM1211,SALTY01163,OMA03453,OMA01069,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY2690,STM2453,SALTY02363,OMA02510,OMA01107,Salm,Salmonella_typhi,Regulatory
STY3595,STM3964,SALTY03821,STY0773,STM0730,SALTY00709,OMA02167,OMA01123,Salm,Salmonella_typhi,Regulatory
STY2495,STM2270,SALTY02187,STY0773,STM0730,SALTY00709,OMA03395,OMA01123,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY4194,STM3609,SALTY03481,OMA03568,OMA01136,Salm,Salmonella_typhi,Regulatory
STY1271,STM1231,SALTY01183,STY4583,STY4583,SALTI04184,OMA03453,OMA01180,Salm,Salmonella_typhi,Regulatory
NA,STM4265,SALTY04102,STY3460,STM3279,SALTY03165,OMA05145,OMA01317,Salm,Salmonella_typhi,Regulatory
