Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SG_RS20920,STM4292,SALTY04129,SG_RS05325,SG1048,SALG201021,OMA03507,OMA00040,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS08715,STM1391,SALTY01338,SG_RS05325,SG1048,SALG201021,OMA03568,OMA00040,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS20920,STM4292,SALTY04129,SG_RS14580,STM2992,SALTY02883,OMA03507,OMA01067,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS11555,STM2270,SALTY02187,SG_RS02310,STM0449,SALTY00439,OMA03395,OMA01273,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS20920,STM4292,SALTY04129,SG_RS14575,STM2991,SALTY02882,OMA03507,OMA01304,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS07785,STM1588,SALTY01529,SG_RS19695,STM3545,SALTY03417,OMA03508,OMA01852,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS00520,STM0104,SALTY00103,SG_RS07335,STM1671,SALTY01611,OMA02591,OMA02522,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS07785,STM1588,SALTY01529,SG_RS19690,STM3546,SALTY03418,OMA03508,OMA04234,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS00585,STM0115,SALTY00114,SG_RS01525,SPC_0304,SALPC00295,OMA01895,OMA04438,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS03475,STM0693,SALTY00672,SG_RS08655,STM1403,SALTY01350,OMA04467,OMA04517,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS00600,STM0118,SALTY00117,SG_RS18040,STM3881,SALTY03752,OMA02001,OMA04644,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS02805,STM0550,SALTY00539,SG_RS12775,STM2508,SALTY02417,OMA03197,OMA05140,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS21965,STM4511,SALTY04342,SG_RS01545,SALPK_Chromosome.2414,SALPK02405,OMA02349,OMA05455,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS02910,STM0580,SALTY00566,SG_RS01545,SALPK_Chromosome.2414,SALPK02405,OMA03830,OMA05455,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS03475,STM0693,SALTY00672,SG_RS06080,STY2004,SALTI01810,OMA04467,OMA00356,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS03475,STM0693,SALTY00672,SG_RS06075,STY2005,SALTI01811,OMA04467,OMA01569,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS08295,STM1475,SALTY01417,SG_RS05355,SPUL_1888,SALPS01753,OMA03205,OMA02926,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS08295,STM1475,SALTY01417,SG_RS05300,SPUL_1901,SALPS01763,OMA03205,OMA04100,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS04565,STM0959,SALTY00928,SG_RS10175,SPUL_0912,SALPS00845,OMA04295,OMA04339,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS20770,STM4265,SALTY04102,SG_RS04950,STM1088,SALTY01043,OMA05145,OMA02530,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS00585,STM0115,SALTY00114,SG_RS10225,SG2020,SALG201954,OMA01895,OMA03921,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS20920,STM4292,SALTY04129,SG_RS10225,SG2020,SALG201954,OMA03507,OMA03921,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS07785,STM1588,SALTY01529,SG_RS04220,STM0854,SALTY00825,OMA03508,OMA04137,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS08970,STM1339,SALTY01287,SG_RS02840,STM0559,SALTY00546,OMA05341,OMA04931,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS20920,STM4292,SALTY04129,SG_RS01950,STM0378,SALTY00367,OMA03507,OMA05262,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS00520,STM0104,SALTY00103,SG_RS21035,STM4316,SALTY04153,OMA02591,OMA05762,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS04120,STM0835,SALTY00806,SG_RS11090,STM2166,SALTY02092,OMA04394,OMA00220,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS07785,STM1588,SALTY01529,SG_RS22055,SPUL_4517,SALPS04249,OMA03508,OMA00404,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
SG_RS04120,STM0835,SALTY00806,SG_RS11095,STM2167,SALTY02093,OMA04394,OMA00478,Salm,Salmonella_gallinarum_287_91_NCTC_13346,Regulatory
