Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STY0146,STM0126,SALTY00125,STY3744,STM4130,SALTY03981,OMA01153,OMA00398,PMID:31455646,Salmonella_typhi,Metabolic
STY2959,STM2837,SALTY02732,STY2064,STY2064,SALTI01868,OMA02985,OMA04863,IntAct,Salmonella_typhi,Protein-protein interaction
STY3875,STM4006,SALTY03858,STY3692,STY3692,SALTI03368,OMA01862,OMA05567,IntAct,Salmonella_typhi,Protein-protein interaction
STY2988,STM2867,SALTY02762,STY2812,STM2565,SALTY02474,OMA02430,OMA00023,Salm,Salmonella_typhi,Regulatory
STY3595,STM3964,SALTY03821,STY1226,STM1185,SALTY01138,OMA02167,OMA00054,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY0699,STM0648,SALTY00634,OMA00542,OMA00086,Salm,Salmonella_typhi,Regulatory
STY1771,STM1339,SALTY01287,STY0699,STM0648,SALTY00634,OMA05341,OMA00086,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY2496,STM2271,SALTY02188,OMA02510,OMA00088,Salm,Salmonella_typhi,Regulatory
STY4294,STM3502,SALTY03376,STY4450,STM4254,SALTY04091,OMA03233,OMA00091,Salm,Salmonella_typhi,Regulatory
STY1477,STM1588,SALTY01529,STY0324,STY0324,SALTI00293,OMA03508,OMA00103,Salm,Salmonella_typhi,Regulatory
STY0876,STM0835,SALTY00806,STY0324,STY0324,SALTI00293,OMA04394,OMA00103,Salm,Salmonella_typhi,Regulatory
STY1771,STM1339,SALTY01287,STY0324,STY0324,SALTI00293,OMA05341,OMA00103,Salm,Salmonella_typhi,Regulatory
STY3499,STM3320,SALTY03203,STY3071,STM2944,SALTY02839,OMA00842,OMA00112,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY3033,STM2909,SALTY02804,OMA00542,OMA00149,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY2744,STM2503,SALTY02412,OMA00542,OMA00234,Salm,Salmonella_typhi,Regulatory
NA,STM2866,SALTY02761,STY2744,STM2503,SALTY02412,OMA03001,OMA00234,Salm,Salmonella_typhi,Regulatory
STY0957,STM0959,SALTY00928,STY2744,STM2503,SALTY02412,OMA04295,OMA00234,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY2744,STM2503,SALTY02412,OMA04467,OMA00234,Salm,Salmonella_typhi,Regulatory
STY0545,STM0499,SALTY00488,STY2744,STM2503,SALTY02412,OMA04660,OMA00234,Salm,Salmonella_typhi,Regulatory
STY4514,STM4314,SALTY04151,STY2744,STM2503,SALTY02412,OMA05381,OMA00234,Salm,Salmonella_typhi,Regulatory
STY4867,STM4511,SALTY04342,STY3342,STM3168,SALTY03056,OMA02349,OMA00239,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY3342,STM3168,SALTY03056,OMA03568,OMA00239,Salm,Salmonella_typhi,Regulatory
,STM0354,SALTY00343,STY3342,STM3168,SALTY03056,OMA04412,OMA00239,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY3342,STM3168,SALTY03056,OMA04467,OMA00239,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY3153,STM3010,SALTY02901,OMA02510,OMA00266,Salm,Salmonella_typhi,Regulatory
STY4294,STM3502,SALTY03376,STY4473,STM4275,SALTY04112,OMA03233,OMA00354,Salm,Salmonella_typhi,Regulatory
STY2999,STM2876,SALTY02771,STY4592,STY4592,SALTI04193,OMA00542,OMA00361,Salm,Salmonella_typhi,Regulatory
STY0138,STM0118,SALTY00117,STY4592,STY4592,SALTI04193,OMA02001,OMA00361,Salm,Salmonella_typhi,Regulatory
NA,STM0550,SALTY00539,STY4592,STY4592,SALTI04193,OMA03197,OMA00361,Salm,Salmonella_typhi,Regulatory
STY2495,STM2270,SALTY02187,STY4592,STY4592,SALTI04193,OMA03395,OMA00361,Salm,Salmonella_typhi,Regulatory
,STM0354,SALTY00343,STY4592,STY4592,SALTI04193,OMA04412,OMA00361,Salm,Salmonella_typhi,Regulatory
NA,STM1444,SALTY01389,STY4592,STY4592,SALTI04193,OMA04566,OMA00361,Salm,Salmonella_typhi,Regulatory
STY0545,STM0499,SALTY00488,STY4592,STY4592,SALTI04193,OMA04660,OMA00361,Salm,Salmonella_typhi,Regulatory
STY3565,STM3385,SALTY03268,STY4592,STY4592,SALTI04193,OMA05327,OMA00361,Salm,Salmonella_typhi,Regulatory
STY1271,STM1231,SALTY01183,STY2629,STY2629,SALTI02399,OMA03453,OMA00375,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY0257,STM0233,SALTY00232,OMA02510,OMA00458,Salm,Salmonella_typhi,Regulatory
STY0731,STM0693,SALTY00672,STY1304,STM1746,SALTY01687,OMA04467,OMA00475,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY2999,STM2876,SALTY02771,OMA03568,OMA00542,Salm,Salmonella_typhi,Regulatory
STY1647,STM1475,SALTY01417,STY0747,STM0706,SALTY00685,OMA03205,OMA00557,Salm,Salmonella_typhi,Regulatory
STY1477,STM1588,SALTY01529,STY0747,STM0706,SALTY00685,OMA03508,OMA00557,Salm,Salmonella_typhi,Regulatory
NA,STM1391,SALTY01338,STY0786,STM0740,SALTY00719,OMA03568,OMA00646,Salm,Salmonella_typhi,Regulatory
STY4515,STM4315,SALTY04152,STY0376,STM0343,SALTY00332,OMA02510,OMA00653,Salm,Salmonella_typhi,Regulatory
