Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SARI_RS20820,STM3181,SALTY03069,SARI_RS17945,SARI_03841,SALAR03670,OMA00397,OMA00951,IntAct,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS07575,STM1338,SALTY01286,SARI_RS15815,SARI_03388,SALAR03255,OMA00197,OMA01618,IntAct,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS07865,STM1283,SALTY01231,SARI_RS15815,SARI_03388,SALAR03255,OMA00727,OMA01618,IntAct,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS13235,SARI_02831,SALAR02716,SARI_RS13235,SARI_02831,SALAR02716,OMA02093,OMA02093,Interactome3d,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS01630,STM2525,SALTY02434,SARI_RS03250,SARI_00684,SALAR00647,OMA01472,OMA02123,IntAct,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS20440,SARI_04362,SALAR04176,SARI_RS20440,SARI_04362,SALAR04176,OMA02693,OMA02693,Interactome3d,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS03245,SARI_00683,SALAR00646,SARI_RS03245,SARI_00683,SALAR00646,OMA02875,OMA02875,Interactome3d,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS15760,SARI_03376,SALAR03243,SARI_RS15760,SARI_03376,SALAR03243,OMA02890,OMA02890,Interactome3d,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS15750,SARI_03374,SALAR03241,SARI_RS15760,SARI_03376,SALAR03243,OMA05691,OMA02890,IntAct_Interactome3d,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
SARI_RS15760,SARI_03376,SALAR03243,SARI_RS15765,SARI_03377,SALAR03244,OMA02890,OMA02999,Interactome3d,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Protein-protein interaction
