Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STM0550,STM0550,SALTY00539,STM4037,STM4037,SALTY03889,OMA03197,OMA00059,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM0118,STM0118,SALTY00117,STM1570,STM1570,SALTY01511,OMA02001,OMA00061,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2876,STM2876,SALTY02771,STM3515,STM3515,SALTY03389,OMA00542,OMA00106,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM1339,STM1339,SALTY01287,STM2944,STM2944,SALTY02839,OMA05341,OMA00112,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM4467,STM4467,SALTY04299,STM2269,STM2269,SALTY02186,OMA01319,OMA00125,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM4265,STM4265,SALTY04102,STM2660,STM2660,SALTY02565,OMA05145,OMA00153,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2876,STM2876,SALTY02771,STM3514,STM3514,SALTY03388,OMA00542,OMA00182,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM1588,STM1588,SALTY01529,STM2066,STM2066,SALTY01992,OMA03508,OMA00196,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM4314,STM4314,SALTY04151,STM3076,STM3076,SALTY02965,OMA05381,OMA00336,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2876,STM2876,SALTY02771,PSLT095,PSLT095,SALTY04514,OMA00542,OMA00419,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM1231,STM1231,SALTY01183,STM1818,STM1818,SALTY01756,OMA03453,OMA00540,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2899,STM2899,SALTY02794,STM4264,STM4264,SALTY04101,OMA03047,OMA00602,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2876,STM2876,SALTY02771,STM0834,STM0834,SALTY00805,OMA00542,OMA00623,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM4315,STM4315,SALTY04152,STM1637,STM1637,SALTY01578,OMA02510,OMA00630,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM1391,STM1391,SALTY01338,STM2119,STM2119,SALTY02045,OMA03568,OMA00650,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2875,STM2875,SALTY02770,STM3899,STM3899,SALTY03762,OMA02238,OMA00744,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM2875,STM2875,SALTY02770,STM0911,STM0911,SALTY00882,OMA02238,OMA00759,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM4315,STM4315,SALTY04152,STM1508,STM1508,SALTY01450,OMA02510,OMA00780,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
STM0115,STM0115,SALTY00114,STM0687,STM0687,SALTY00666,OMA01895,OMA00840,Salm,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Regulatory
