Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STM14_RS17825,STM3353,SALTY03236,STM14_RS17815,STM3351,SALTY03234,OMA05607,OMA01270,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS22535,STM4292,SALTY04129,STM14_RS19520,STM3690,SALTY03561,OMA03507,OMA03401,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03360,STM0550,SALTY00539,STM14_RS08165,STM14_1761,SALT101690,OMA03197,OMA06365,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS07810,STM1391,SALTY01338,STM14_RS24965,SALTS_Chromosome.1921,SALTS01916,OMA03568,OMA05777,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS15420,STM2876,SALTY02771,STM14_RS24525,STM14_0925,SALT100891,OMA00542,OMA05766,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS23640,STM4511,SALTY04342,STM14_RS24525,STM14_0925,SALT100891,OMA02349,OMA05766,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS12560,STM2270,SALTY02187,STM14_RS24525,STM14_0925,SALT100891,OMA03395,OMA05766,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS01155,STM0115,SALTY00114,STM14_RS25680,STM14_5115,SALT104922,OMA01895,OMA06011,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS25680,STM14_5115,SALT104922,OMA03507,OMA06011,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS04075,STM0693,SALTY00672,STM14_RS25680,STM14_5115,SALT104922,OMA04467,OMA06011,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS01095,STM0104,SALTY00103,STM14_RS25265,STM14_3379,SALT103254,OMA02591,OMA06051,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03505,STM0580,SALTY00566,STM14_RS25265,STM14_3379,SALT103254,OMA03830,OMA06051,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17815,STM3351,SALTY03234,STM14_RS17825,STM3353,SALTY03236,OMA01270,OMA05607,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS23640,STM4511,SALTY04342,STM14_RS12370,STM2232,SALTY02156,OMA02349,OMA00411,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS04810,STM0835,SALTY00806,NA,STM3754,SALTY03624,OMA04394,OMA04966,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS20880,STM3964,SALTY03821,STM14_RS02120,STMMW_03132,SALTD00304,OMA02167,OMA05781,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17655,STM3320,SALTY03203,STM14_RS14300,STM2613,SALTY02523,OMA00842,OMA05152,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17815,STM3351,SALTY03234,STM14_RS00840,STM0054,SALTY00054,OMA01270,OMA01244,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS00840,STM0054,SALTY00054,STM14_RS17815,STM3351,SALTY03234,OMA01244,OMA01270,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS17815,STM3351,SALTY03234,STM14_RS17815,STM3351,SALTY03234,OMA01270,OMA01270,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS17815,STM3351,SALTY03234,STM14_RS00850,STM0056,SALTY00055,OMA01270,OMA05678,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS15370,STM2866,SALTY02761,STM14_RS24895,SL1344_1792,SALTS01778,OMA03001,OMA05866,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS13875,STM2530,SALTY02439,STM14_RS08340,STM0965,SALTY00934,OMA00176,OMA03577,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS22610,STM4306,SALTY04143,STM14_RS08340,STM0965,SALTY00934,OMA03539,OMA03577,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS22645,STM4315,SALTY04152,STM14_RS09975,STM1817,SALTY01755,OMA02510,OMA01597,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08230,STM1475,SALTY01417,STM14_RS06210,STM1142,SALTY01095,OMA03205,OMA03519,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08815,STM1588,SALTY01529,STM14_RS22175,STM4222,SALTY04059,OMA03508,OMA05706,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS07810,STM1391,SALTY01338,STM14_RS09195,STM1662,SALTY01603,OMA03568,OMA04800,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS01155,STM0115,SALTY00114,STM14_RS13790,STM2513,SALTY02422,OMA01895,OMA00007,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS18395,STM3466,SALTY03341,STM14_RS23495,STM4484,SALTY04316,OMA03616,OMA01844,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08815,STM1588,SALTY01529,STM14_RS09640,STM1749,SALTY01690,OMA03508,OMA00122,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03360,STM0550,SALTY00539,STM14_RS15240,STM2840,SALTY02735,OMA03197,OMA00782,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22640,STM4314,SALTY04151,STM14_RS09080,STM1642,SALTY01583,OMA05381,OMA03792,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08815,STM1588,SALTY01529,STM14_RS20030,STM3793,SALTY03663,OMA03508,OMA02335,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS23600,STM4504,SALTY04335,OMA03507,OMA02286,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS23640,STM4511,SALTY04342,STM14_RS23180,STM14_5309,SALT105112,OMA02349,OMA06362,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS12900,STM2338,SALTY02255,STM14_RS08600,STM1549,SALTY01491,OMA00283,OMA04784,IntAct,Salmonella_typhimurium_14028s_SGSC_2262,Protein-protein interaction
STM14_RS08600,STM1549,SALTY01491,STM14_RS08600,STM1549,SALTY01491,OMA04784,OMA04784,Interactome3d,Salmonella_typhimurium_14028s_SGSC_2262,Protein-protein interaction
STM14_RS04810,STM0835,SALTY00806,STM14_RS08600,STM1549,SALTY01491,OMA04394,OMA04784,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22390,STM4265,SALTY04102,STM14_RS10395,STM1897,SALTY01836,OMA05145,OMA03717,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS07810,STM1391,SALTY01338,STM14_RS12420,STM2241,SALTY02165,OMA03568,OMA00198,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS15850,STM2961,SALTY02856,STM14_RS19560,STM3698,SALTY03569,OMA01025,OMA01095,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS23640,STM4511,SALTY04342,STM14_RS10195,STY1994,SALTI01804,OMA02349,OMA06092,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,NA,PSLT036,SALTY04461,OMA04566,OMA05513,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,NA,STM0521,SALTY00510,OMA03507,OMA05514,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS04075,STM0693,SALTY00672,NA,STM0521,SALTY00510,OMA04467,OMA05514,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03360,STM0550,SALTY00539,STM14_RS04320,STM0740,SALTY00719,OMA03197,OMA00646,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08815,STM1588,SALTY01529,STM14_RS03745,STM0628,SALTY00614,OMA03508,OMA03781,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03360,STM0550,SALTY00539,STM14_RS14285,STM2610,SALTY02520,OMA03197,OMA04765,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17990,STM3385,SALTY03268,STM14_RS06750,SL1344_2594,SALTS02581,OMA05327,OMA01724,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08230,STM1475,SALTY01417,STM14_RS10225,STM1867,SALTY01804,OMA03205,OMA05870,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS06665,STM1231,SALTY01183,STM14_RS10225,STM1867,SALTY01804,OMA03453,OMA05870,Exp(HT);Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03110,STM0499,SALTY00488,STM14_RS10225,STM1867,SALTY01804,OMA04660,OMA05870,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS10610,STM1940,SALTY01878,OMA03507,OMA00777,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS18395,STM3466,SALTY03341,STM14_RS12400,STM2238,SALTY02162,OMA03616,OMA01041,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS18395,STM3466,SALTY03341,STM14_RS12395,STM2237,SALTY02161,OMA03616,OMA05132,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS24080,STM4598,SALTY04426,STM14_RS05760,STM1054,SALTY01010,OMA03240,OMA05281,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03505,STM0580,SALTY00566,STM14_RS02065,STM0294,SALTY00286,OMA03830,OMA04303,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03510,STM0581,SALTY00567,STM14_RS23520,STM4489,SALTY04320,OMA05046,OMA00037,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS20880,STM3964,SALTY03821,STM14_RS18360,STM3459,SALTY03335,OMA02167,OMA00385,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22645,STM4315,SALTY04152,STM14_RS17520,STM3295,SALTY03179,OMA02510,OMA02679,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS20880,STM3964,SALTY03821,STM14_RS18355,STM3458,SALTY03334,OMA02167,OMA03925,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17655,STM3320,SALTY03203,STM14_RS26100,STM2585,SALTY02494,OMA00842,OMA04004,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03360,STM0550,SALTY00539,STM14_RS14600,STM2671,SALTY02575,OMA03197,OMA04142,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03510,STM0581,SALTY00567,STM14_RS11040,SL1344_1954,SALTS01943,OMA05046,OMA04679,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS25860,STM0334,SALTY00323,OMA03507,OMA05447,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS07810,STM1391,SALTY01338,STM14_RS10905,SL1344_1928,SALTS01917,OMA03568,OMA01923,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS23640,STM4511,SALTY04342,STM14_RS14825,STM2762,SALTY02663,OMA02349,OMA01056,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS07810,STM1391,SALTY01338,STM14_RS00920,STM0069,SALTY00068,OMA03568,OMA03782,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17990,STM3385,SALTY03268,STM14_RS10590,STM1936,SALTY01874,OMA05327,OMA05648,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17990,STM3385,SALTY03268,STM14_RS11040,SL1344_1954,SALTS01943,OMA05327,OMA04679,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS23205,STM4424,SALTY04257,STM14_RS14775,STM2753,SALTY02654,OMA02278,OMA01903,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS14775,STM2753,SALTY02654,STM14_RS23210,STM4425,SALTY04258,OMA01903,OMA01936,PMID:31455646,Salmonella_typhimurium_14028s_SGSC_2262,Metabolic
STM14_RS13140,STM2385,SALTY02302,STM14_RS14170,STM2588,SALTY02498,OMA02224,OMA00207,IntAct,Salmonella_typhimurium_14028s_SGSC_2262,Protein-protein interaction
STM14_RS14160,STM2586,SALTY02496,STM14_RS22380,STM4263,SALTY04100,OMA03849,OMA05413,Lit_Ecoli_IntAct,Salmonella_typhimurium_14028s_SGSC_2262,Protein-protein interaction
STM14_RS08075,STM1444,SALTY01389,STM14_RS23550,STM4495,SALTY04326,OMA04566,OMA00031,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23555,STM4496,SALTY04327,OMA04566,OMA00032,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23535,STM4492,SALTY04323,OMA04566,OMA00132,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23530,STM4491,SALTY04322,OMA04566,OMA00296,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS21555,STM4098,SALTY03951,OMA03507,OMA00434,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS15535,STM2899,SALTY02794,STM14_RS07130,STM1255,SALTY01204,OMA03047,OMA00499,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS15420,STM2876,SALTY02771,OMA03507,OMA00542,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS15375,STM2867,SALTY02762,STM14_RS14045,STM2564,SALTY02473,OMA02430,OMA00827,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23545,STM4494,SALTY04325,OMA04566,OMA01647,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03110,STM0499,SALTY00488,STM14_RS02055,STM0292,SALTY00284,OMA04660,OMA02264,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS15345,STM2861,SALTY02756,OMA03507,OMA02340,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS04075,STM0693,SALTY00672,STM14_RS01380,STM0159,SALTY00158,OMA04467,OMA02597,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17990,STM3385,SALTY03268,STM14_RS01380,STM0159,SALTY00158,OMA05327,OMA02597,Exp(HT),Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23540,STM4493,SALTY04324,OMA04566,OMA02717,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS07810,STM1391,SALTY01338,STM14_RS22665,STM4319,SALTY04156,OMA03568,OMA03016,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22645,STM4315,SALTY04152,STM14_RS10690,STM1956,SALTY01891,OMA02510,OMA03251,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS03505,STM0580,SALTY00566,STM14_RS14850,STM2766,SALTY02667,OMA03830,OMA03542,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23560,STM4497,SALTY04328,OMA04566,OMA03742,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS01155,STM0115,SALTY00114,STM14_RS23565,STM4498,SALTY04329,OMA01895,OMA03768,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS08075,STM1444,SALTY01389,STM14_RS23565,STM4498,SALTY04329,OMA04566,OMA03768,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS04075,STM0693,SALTY00672,STM14_RS01385,STM0160,SALTY00159,OMA04467,OMA04419,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17655,STM3320,SALTY03203,STM14_RS01965,STM0275,SALTY00267,OMA00842,OMA04458,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS15415,STM2875,SALTY02770,STM14_RS01965,STM0275,SALTY00267,OMA02238,OMA04458,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS22535,STM4292,SALTY04129,STM14_RS15340,STM2860,SALTY02755,OMA03507,OMA04985,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS15535,STM2899,SALTY02794,STM14_RS07125,STM1254,SALTY01203,OMA03047,OMA05267,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS04075,STM0693,SALTY00672,STM14_RS22045,STM4197,SALTY04034,OMA04467,OMA05325,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS17655,STM3320,SALTY03203,STM14_RS15560,STM2904,SALTY02799,OMA00842,OMA05384,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
STM14_RS01155,STM0115,SALTY00114,STM14_RS25860,STM0334,SALTY00323,OMA01895,OMA05447,Salm,Salmonella_typhimurium_14028s_SGSC_2262,Regulatory
