Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
STY2959,STM2837,SALTY02732,STY2064,STY2064,SALTI01868,OMA02985,OMA04863,IntAct,Salmonella_typhi,Protein-protein interaction
STY3875,STM4006,SALTY03858,STY3692,STY3692,SALTI03368,OMA01862,OMA05567,IntAct,Salmonella_typhi,Protein-protein interaction
STY2075,STY2075,SALTI01880,NA,STM0671,SALTY00657,OMA06026,OMA01462,IntAct,Salmonella_typhi,Protein-protein interaction
NA,STY4650,SALTI04248,NA,STY4650,SALTI04248,OMA03050,OMA03050,Interactome3d,Salmonella_typhi,Protein-protein interaction
STY0088,STM0078,SALTY00077,STY2889,STM2702,SALTY02604,OMA05373,OMA04615,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM2705,SALTY02607,STY4461,STM4263,SALTY04100,OMA04154,OMA05413,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM1005,SALTY00973,STY2753,STM2512,SALTY02421,OMA01011,OMA01009,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY1036,STM1022,SALTY00980,STY3566,STM3386,SALTY03269,OMA02817,OMA02437,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY2842,STM2649,SALTY02558,STY1036,STM1022,SALTY00980,OMA04621,OMA02817,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY1036,STM1022,SALTY00980,STY4433,STM4237,SALTY04074,OMA02817,OMA03770,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM0529,SALTY00518,NA,STM0529,SALTY00518,OMA00586,OMA00586,Interactome3d,Salmonella_typhi,Protein-protein interaction
NA,STM4377,SALTY04210,STY3483,STM3304,SALTY03187,OMA00573,OMA05113,IntAct,Salmonella_typhi,Protein-protein interaction
STY3969,STM3809,SALTY03681,STY1519,STM1543,SALTY01485,OMA04661,OMA01181,IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM2960,SALTY02855,NA,STM2961,SALTY02856,OMA01006,OMA01025,Interactome3d,Salmonella_typhi,Protein-protein interaction
NA,STM2961,SALTY02856,NA,STM2961,SALTY02856,OMA01025,OMA01025,Interactome3d,Salmonella_typhi,Protein-protein interaction
STY2472,STM2246,SALTY02170,STY2718,STM2480,SALTY02389,OMA03346,OMA00424,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY2718,STM2480,SALTY02389,STY2472,STM2246,SALTY02170,OMA00424,OMA03346,Interactome3d,Salmonella_typhi,Protein-protein interaction
NA,STM4377,SALTY04210,STY0176,STM0153,SALTY00152,OMA00573,OMA00415,IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM4377,SALTY04210,STY4363,STM3435,SALTY03312,OMA00573,OMA05177,IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM2705,SALTY02607,STY0809,STM0776,SALTY00749,OMA04154,OMA01904,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM2705,SALTY02607,,STM0631,SALTY00617,OMA04154,OMA02916,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY3911,STM3867,SALTY03738,NA,STM2705,SALTY02607,OMA00713,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY0807,STM0774,SALTY00747,NA,STM2705,SALTY02607,OMA01541,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY0646,STM0602,SALTY00588,NA,STM2705,SALTY02607,OMA01743,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY3875,STM4006,SALTY03858,NA,STM2705,SALTY02607,OMA01862,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY0992,STM0990,SALTY00958,NA,STM2705,SALTY02607,OMA02960,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY4210,STM3593,SALTY03465,NA,STM2705,SALTY02607,OMA03072,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY3774,STM4096,SALTY03949,NA,STM2705,SALTY02607,OMA05317,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY3255,STM3102,SALTY02991,NA,STM2705,SALTY02607,OMA05372,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY0905,STM0872,SALTY00843,NA,STM2705,SALTY02607,OMA05503,OMA04154,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM2705,SALTY02607,STY0422,STM0389,SALTY00378,OMA04154,OMA05970,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY1167,STM1130,SALTY01084,STY1167,STM1130,SALTY01084,OMA01484,OMA01484,Interactome3d,Salmonella_typhi,Protein-protein interaction
NA,STM1954,SALTY01889,STY3409,STM3229,SALTY03116,OMA02914,OMA05343,IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM4377,SALTY04210,STY4066,STM3728,SALTY03599,OMA00573,OMA05686,IntAct,Salmonella_typhi,Protein-protein interaction
STY3403,STM3223,SALTY03110,STY3065,STM2938,SALTY02833,OMA01832,OMA02350,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM4377,SALTY04210,STY4350,STM3448,SALTY03324,OMA00573,OMA04908,IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM2915,SALTY02810,NA,STM3029,SALTY02920,OMA02915,OMA03285,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
NA,STM4377,SALTY04210,STY4358,STM3440,SALTY03317,OMA00573,OMA03689,IntAct,Salmonella_typhi,Protein-protein interaction
STY2130,STM1921,SALTY01860,STY2128,STM1919,SALTY01858,OMA00353,OMA00403,IntAct,Salmonella_typhi,Protein-protein interaction
STY2128,STM1919,SALTY01858,STY2128,STM1919,SALTY01858,OMA00403,OMA00403,Interactome3d,Salmonella_typhi,Protein-protein interaction
STY2129,STM1920,SALTY01859,STY2128,STM1919,SALTY01858,OMA04282,OMA00403,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
STY4403,STM4185,SALTY04022,STY3403,STM3223,SALTY03110,OMA00461,OMA01832,Lit_Ecoli_IntAct,Salmonella_typhi,Protein-protein interaction
