Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SEHA_RS15985,SeHA_C3259,SALHS03027,SEHA_RS21695,STM4152,SALTY03993,OMA06429,OMA05016,IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS15985,SeHA_C3259,SALHS03027,SEHA_RS19655,STM3727,SALTY03598,OMA06429,OMA06204,IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS21690,STM4151,SALTY03992,SEHA_RS15985,SeHA_C3259,SALHS03027,OMA04322,OMA06429,IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS15985,SeHA_C3259,SALHS03027,SEHA_RS15985,SeHA_C3259,SALHS03027,OMA06429,OMA06429,Interactome3d,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS15960,SeHA_C3254,SALHS03022,SEHA_RS15960,SeHA_C3254,SALHS03022,OMA05261,OMA05261,Interactome3d,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS12840,STM2338,SALTY02255,SEHA_RS08840,STM1549,SALTY01491,OMA00283,OMA04784,IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS08840,STM1549,SALTY01491,SEHA_RS08840,STM1549,SALTY01491,OMA04784,OMA04784,Interactome3d,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS12355,STM2240,SALTY02164,SEHA_RS16285,STM3086,SALTY02975,OMA01951,OMA00334,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS22920,STM4328,SALTY04164,SEHA_RS06080,STM2588,SALTY02498,OMA01257,OMA00207,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS08945,STM1566,SALTY01507,SEHA_RS24055,STM4573,SALTY04401,OMA00489,OMA03308,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS13435,STM2440,SALTY02350,SEHA_RS24055,STM4573,SALTY04401,OMA02396,OMA03308,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS24055,STM4573,SALTY04401,SEHA_RS18355,STM3466,SALTY03341,OMA03308,OMA03616,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS03945,STM0602,SALTY00588,SEHA_RS12325,STM2234,SALTY02158,OMA01743,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS12325,STM2234,SALTY02158,SEHA_RS04830,STM0776,SALTY00749,OMA04116,OMA01904,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS12325,STM2234,SALTY02158,SEHA_RS04090,STM0631,SALTY00617,OMA04116,OMA02916,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS20355,STM3867,SALTY03738,SEHA_RS12325,STM2234,SALTY02158,OMA00713,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS04820,STM0774,SALTY00747,SEHA_RS12325,STM2234,SALTY02158,OMA01541,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS21010,STM4006,SALTY03858,SEHA_RS12325,STM2234,SALTY02158,OMA01862,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS05720,STM0990,SALTY00958,SEHA_RS12325,STM2234,SALTY02158,OMA02960,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS18970,STM3593,SALTY03465,SEHA_RS12325,STM2234,SALTY02158,OMA03072,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS21455,STM4096,SALTY03949,SEHA_RS12325,STM2234,SALTY02158,OMA05317,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS16360,STM3102,SALTY02991,SEHA_RS12325,STM2234,SALTY02158,OMA05372,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS05315,STM0872,SALTY00843,SEHA_RS12325,STM2234,SALTY02158,OMA05503,OMA04116,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS12325,STM2234,SALTY02158,SEHA_RS02880,STM0389,SALTY00378,OMA04116,OMA05970,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS05800,STM1005,SALTY00973,SEHA_RS13775,STM2512,SALTY02421,OMA01011,OMA01009,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS05940,STM1022,SALTY00980,SEHA_RS17955,STM3386,SALTY03269,OMA02817,OMA02437,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS14195,STM2649,SALTY02558,SEHA_RS05940,STM1022,SALTY00980,OMA04621,OMA02817,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS05940,STM1022,SALTY00980,SEHA_RS22125,STM4237,SALTY04074,OMA02817,OMA03770,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
SEHA_RS20355,STM3867,SALTY03738,SEHA_RS04210,STM0654,SALTY00640,OMA00713,OMA01875,Lit_Ecoli_IntAct,Salmonella_heidelberg_SL476,Protein-protein interaction
