Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SSPA_RS20905,STM4314,SALTY04151,SSPA_RS09930,STM0760,SALTY00734,OMA05381,OMA01437,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS21915,STM4511,SALTY04342,SSPA_RS21535,STM4455,SALTY04287,OMA02349,OMA02166,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
,STM0354,SALTY00343,SSPA_RS21820,SALTS_Chromosome.2745,SALTS02734,OMA04412,OMA02572,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
,STM0354,SALTY00343,SSPA_RS03610,STY2357,SALTI02147,OMA04412,OMA04171,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS20910,STM4315,SALTY04152,SSPA_RS17165,STY1379,SALTI01246,OMA02510,OMA04381,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS21915,STM4511,SALTY04342,SSPA_RS11975,STM0559,SALTY00546,OMA02349,OMA04931,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS10810,STM0581,SALTY00567,SSPA_RS12260,SL1344_2586,SALTS02573,OMA05046,OMA04969,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS19265,STM3964,SALTY03821,SSPA_RS03095,STY2471,SALTI02256,OMA02167,OMA05544,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS17045,STM3502,SALTY03376,SSPA_RS03095,STY2471,SALTI02256,OMA03233,OMA05544,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS07315,STM1391,SALTY01338,SSPA_RS03095,STY2471,SALTI02256,OMA03568,OMA05544,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
SSPA_RS21590,STM4467,SALTY04299,SSPA_RS12875,SL1344_2661,SALTS02649,OMA01319,OMA00002,Salm,Salmonella_paratyphi_A_AKU_12601,Regulatory
