Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SG_RS15835,STM3250,SALTY03136,SG_RS18905,STM3698,SALTY03569,OMA00659,OMA01095,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM1570,SALTY01511,NA,STM4037,SALTY03889,OMA00061,OMA00059,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4037,SALTY03889,NA,STM1570,SALTY01511,OMA00059,OMA00061,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4037,SALTY03889,SG_RS07885,STM1569,SALTY01510,OMA00059,OMA02370,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4037,SALTY03889,SG_RS07890,STM1568,SALTY01509,OMA00059,OMA03405,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS16655,STM4114,SALTY03966,SG_RS04165,STM0843,SALTY00814,OMA00221,OMA00171,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS15795,STM3241,SALTY03128,SG_RS16655,STM4114,SALTY03966,OMA00211,OMA00221,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS04635,STM0973,SALTY00941,SG_RS16655,STM4114,SALTY03966,OMA00217,OMA00221,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS04620,STM0970,SALTY00938,SG_RS16655,STM4114,SALTY03966,OMA02427,OMA00221,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS16655,STM4114,SALTY03966,SG_RS04170,STM0844,SALTY00815,OMA00221,OMA02408,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS16655,STM4114,SALTY03966,SG_RS16650,STM4115,SALTY03967,OMA00221,OMA02514,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4037,SALTY03889,NA,STM4037,SALTY03889,OMA00059,OMA00059,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS17090,STM4035,SALTY03887,NA,STM4037,SALTY03889,OMA03531,OMA00059,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4285,SALTY04122,SG_RS13855,STM2851,SALTY02746,OMA00258,OMA00449,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4285,SALTY04122,SG_RS13845,STM2849,SALTY02744,OMA00258,OMA00497,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4285,SALTY04122,SG_RS13850,STM2850,SALTY02745,OMA00258,OMA02400,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4285,SALTY04122,SG_RS13860,STM2852,SALTY02747,OMA00258,OMA03678,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
NA,STM4285,SALTY04122,SG_RS13840,STM2848,SALTY02743,OMA00258,OMA03948,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS00515,STM0103,SALTY00102,SG_RS15440,STM3171,SALTY03059,OMA00504,OMA01179,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
SG_RS00515,STM0103,SALTY00102,SG_RS15430,STM3169,SALTY03057,OMA00504,OMA02075,PMID:31455646,Salmonella_gallinarum_287_91_NCTC_13346,Metabolic
