Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SCH_RS10985,STM2098,SALTY02024,SCH_RS03855,STM0698,SALTY00677,OMA01908,OMA00598,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS10985,STM2098,SALTY02024,SCH_RS18040,STM3536,SALTY03408,OMA01908,OMA01113,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS10985,STM2098,SALTY02024,SCH_RS14385,STM2820,SALTY02720,OMA01908,OMA03312,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS03855,STM0698,SALTY00677,SCH_RS18040,STM3536,SALTY03408,OMA00598,OMA01113,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS14385,STM2820,SALTY02720,SCH_RS18040,STM3536,SALTY03408,OMA03312,OMA01113,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS23155,STM4585,SALTY04413,SCH_RS18860,STM3704,SALTY03575,OMA03557,OMA00683,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS23155,STM4585,SALTY04413,SCH_RS15070,STM2952,SALTY02847,OMA03557,OMA01203,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS04170,STM0772,SALTY00745,SCH_RS23155,STM4585,SALTY04413,OMA03061,OMA03557,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS21805,STM4300,SALTY04137,SCH_RS04115,STM0761,SALTY00735,OMA00572,OMA04037,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS21805,STM4300,SALTY04137,SCH_RS04120,STM0762,SALTY00736,OMA00572,OMA02461,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS15140,STM2960,SALTY02855,SCH_RS15150,STM2962,SALTY02857,OMA01006,OMA00978,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS18380,STM3599,SALTY03471,SCH_RS21810,STM4301,SALTY04138,OMA01129,OMA01072,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
SCH_RS21810,STM4301,SALTY04138,SCH_RS18380,STM3599,SALTY03471,OMA01072,OMA01129,PMID:31455646,Salmonella_choleraesuis_SC-B67,Metabolic
