Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SEAG_RS22930,SeAg_B4814,SALA404440,SEAG_RS22930,SeAg_B4814,SALA404440,OMA05352,OMA05352,Interactome3d,Salmonella_agona_SL483,Protein-protein interaction
SEAG_RS14380,STM2866,SALTY02761,SEAG_RS12850,STM2513,SALTY02422,OMA03001,OMA00007,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS00920,STM0118,SALTY00117,SEAG_RS17585,STM3478,SALTY03353,OMA02001,OMA00008,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS17110,STM3385,SALTY03268,SEAG_RS17585,STM3478,SALTY03353,OMA05327,OMA00008,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS21815,STM4314,SALTY04151,SEAG_RS17585,STM3478,SALTY03353,OMA05381,OMA00008,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS14425,STM2875,SALTY02770,SEAG_RS21915,STM4534,SALTY04365,OMA02238,OMA00095,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS14430,STM2876,SALTY02771,SEAG_RS07305,SBG_1491,SALBC01475,OMA00542,OMA00147,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS00920,STM0118,SALTY00117,SEAG_RS07305,SBG_1491,SALBC01475,OMA02001,OMA00147,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS14425,STM2875,SALTY02770,SEAG_RS07305,SBG_1491,SALBC01475,OMA02238,OMA00147,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS03160,STM0580,SALTY00566,SEAG_RS04220,STM0800,SALTY00772,OMA03830,OMA00213,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS07655,STM1588,SALTY01529,SEAG_RS20045,STM3965,SALTY03822,OMA03508,OMA00226,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS11605,STM2270,SALTY02187,SEAG_RS12870,STM2517,SALTY02426,OMA03395,OMA00246,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS21700,STM4292,SALTY04129,SEAG_RS00735,STM0084,SALTY00083,OMA03507,OMA00376,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS03160,STM0580,SALTY00566,SEAG_RS11830,STM2315,SALTY02232,OMA03830,OMA00467,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS21815,STM4314,SALTY04151,SEAG_RS11830,STM2315,SALTY02232,OMA05381,OMA00467,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS09490,STM1231,SALTY01183,SEAG_RS00475,STM0032,SALTY00032,OMA03453,OMA00485,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS14430,STM2876,SALTY02771,SEAG_RS05225,STM1091,SALTY01046,OMA00542,OMA00529,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS00845,STM0104,SALTY00103,SEAG_RS02490,STM0437,SALTY00427,OMA02591,OMA00712,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS17705,STM3502,SALTY03376,SEAG_RS00490,STM0035,SALTY00035,OMA03233,OMA00720,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS03740,STM0693,SALTY00672,SEAG_RS21685,STM4290,SALTY04127,OMA04467,OMA00740,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS21815,STM4314,SALTY04151,SEAG_RS22240,STM4383,SALTY04216,OMA05381,OMA00814,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS23060,STM4511,SALTY04342,SEAG_RS00600,STM0057,SALTY00056,OMA02349,OMA01080,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS14380,STM2866,SALTY02761,SEAG_RS02170,SNSL254_A0415,SALNS00385,OMA03001,OMA01086,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS17110,STM3385,SALTY03268,SEAG_RS08270,STM1471,SALTY01414,OMA05327,OMA01119,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS03050,STM0550,SALTY00539,SEAG_RS22490,STM4434,SALTY04267,OMA03197,OMA01310,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS23060,STM4511,SALTY04342,SEAG_RS00605,STM0058,SALTY00057,OMA02349,OMA01831,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS07655,STM1588,SALTY01529,SEAG_RS22895,SSPA3985,SALPK04147,OMA03508,OMA01956,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS08675,STM1391,SALTY01338,SEAG_RS22895,SSPA3985,SALPK04147,OMA03568,OMA01956,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS08930,STM1339,SALTY01287,SEAG_RS22895,SSPA3985,SALPK04147,OMA05341,OMA01956,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS07655,STM1588,SALTY01529,SEAG_RS20040,STM3964,SALTY03821,OMA03508,OMA02167,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS02070,STM0354,SALTY00343,SEAG_RS13870,STM2763,SALTY02664,OMA04412,OMA02373,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS03740,STM0693,SALTY00672,SEAG_RS04420,STM0839,SALTY00810,OMA04467,OMA02419,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS07655,STM1588,SALTY01529,SEAG_RS10155,SPUL_0898,SALPS00831,OMA03508,OMA02464,Salm,Salmonella_agona_SL483,Regulatory
SEAG_RS14430,STM2876,SALTY02771,SEAG_RS05205,STM1088,SALTY01043,OMA00542,OMA02530,Salm,Salmonella_agona_SL483,Regulatory
