Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SEN_RS00610,STM0118,SALTY00117,SEN_RS00335,STM0066,SALTY00065,OMA02001,OMA01516,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS22200,STM4511,SALTY04342,SEN_RS07200,STY2057,SALTI01861,OMA02349,OMA02668,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS21150,STM4292,SALTY04129,SEN_RS07220,SPAB_02253,SALPB02166,OMA03507,OMA05100,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS22200,STM4511,SALTY04342,SEN_RS07210,STY2054.1,SALTI01859,OMA02349,OMA06004,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS08585,STM1391,SALTY01338,SEN_RS07775,STM1555,SALTY01496,OMA03568,OMA01963,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS14150,STM2875,SALTY02770,SEN_RS15335,STM3105,SALTY02994,OMA02238,OMA01930,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS16735,STM3385,SALTY03268,SEN_RS01480,STM0305,SALTY00297,OMA05327,OMA05775,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS08585,STM1391,SALTY01338,SEN_RS00990,STM0191,SALTY00190,OMA03568,OMA00229,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS04035,STM0835,SALTY00806,SEN_RS09165,STM1283,SALTY01231,OMA04394,OMA00727,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS21150,STM4292,SALTY04129,SEN_RS11710,STM2269,SALTY02186,OMA03507,OMA00125,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS00595,STM0115,SALTY00114,SEN_RS12975,STM2513,SALTY02422,OMA01895,OMA00007,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS07605,STM1588,SALTY01529,SEN_RS04055,STM0839,SALTY00810,OMA03508,OMA02419,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS07605,STM1588,SALTY01529,SEN_RS01410,STMMW_03041,SALTD00294,OMA03508,OMA05434,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS08585,STM1391,SALTY01338,SEN_RS11570,STM2241,SALTY02165,OMA03568,OMA00198,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS08165,STM1475,SALTY01417,SEN_RS06065,STM2585.1,SALTY02495,OMA03205,OMA05685,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS07605,STM1588,SALTY01529,SEN_RS04760,STM1056,SALTY01012,OMA03508,OMA05735,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
SEN_RS22645,STM4598,SALTY04426,,STM1054,SALTY01010,OMA03240,OMA05281,Salm,Salmonella_enteritidis_PT4_P125109,Regulatory
