Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SPA_RS21250,STM4377,SALTY04210,SPA_RS16080,STM3304,SALTY03187,OMA00573,OMA05113,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS00795,STM0153,SALTY00152,OMA00573,OMA00415,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16740,STM3435,SALTY03312,OMA00573,OMA05177,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS04575,STM1954,SALTY01889,SPA_RS15720,STM3229,SALTY03116,OMA02914,OMA05343,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS18145,STM3728,SALTY03599,OMA00573,OMA05686,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16805,STM3448,SALTY03324,OMA00573,OMA04908,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16765,STM3440,SALTY03317,OMA00573,OMA03689,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS00060,STM0012,SALTY00012,OMA00573,OMA00394,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS21250,STM4377,SALTY04210,OMA00573,OMA00573,IntAct_Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS08340,STM1187,SALTY01139,SPA_RS21250,STM4377,SALTY04210,OMA01880,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS08725,STM1112,SALTY01067,SPA_RS21250,STM4377,SALTY04210,OMA02289,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS05785,STM1719,SALTY01660,SPA_RS21250,STM4377,SALTY04210,OMA02581,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS11405,STM0455,SALTY00445,SPA_RS21250,STM4377,SALTY04210,OMA03320,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS10300,STM0694,SALTY00673,SPA_RS21250,STM4377,SALTY04210,OMA03574,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS12895,STM2688,SALTY02592,SPA_RS21250,STM4377,SALTY04210,OMA04084,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21175,STM4361,SALTY04194,SPA_RS21250,STM4377,SALTY04210,OMA05264,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS08300,STM1196,SALTY01148,SPA_RS21250,STM4377,SALTY04210,OMA05716,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS05205,STM1837,SALTY01775,SPA_RS21250,STM4377,SALTY04210,OMA05868,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS10995,STM0541,SALTY00530,SPA_RS21250,STM4377,SALTY04210,OMA05869,OMA00573,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS21020,STM4330,SALTY04166,OMA00573,OMA00616,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS18055,STM3710,SALTY03581,OMA00573,OMA02258,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS01120,STM0216,SALTY00215,OMA00573,OMA03201,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS20200,STM4150,SALTY03991,OMA00573,OMA03388,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16645,STM3416,SALTY03293,OMA00573,OMA03707,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16680,STM3423,SALTY03300,OMA00573,OMA04250,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16800,STM3447,SALTY03323,OMA00573,OMA04423,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16285,STM3345,SALTY03228,OMA00573,OMA04612,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS21640,STM4470,SALTY04302,OMA00573,OMA04677,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS21320,STM4391,SALTY04224,OMA00573,OMA04740,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS12825,STM2673,SALTY02577,OMA00573,OMA05065,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16045,STM3298,SALTY03182,OMA00573,OMA05150,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16700,STM3427,SALTY03304,OMA00573,OMA05288,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS16745,STM3436,SALTY03313,OMA00573,OMA05436,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS21250,STM4377,SALTY04210,SPA_RS00220,STM0043,SALTY00043,OMA00573,OMA05545,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS13760,STM2849,SALTY02744,NA,STM4285,SALTY04122,OMA00497,OMA00258,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS09355,STM0937,SALTY00908,NA,STM4285,SALTY04122,OMA00562,OMA00258,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS13775,STM2852,SALTY02747,NA,STM4285,SALTY04122,OMA03678,OMA00258,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS13755,STM2848,SALTY02743,NA,STM4285,SALTY04122,OMA03948,OMA00258,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
NA,STM4285,SALTY04122,SPA_RS13750,STM2847,SALTY02742,OMA00258,OMA02966,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS14765,STM3041,SALTY02930,SPA_RS18605,STM3818,SALTY03690,OMA01691,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS07560,STM1335,SALTY01283,SPA_RS01280,STM0248,SALTY00246,OMA05847,OMA03881,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS03555,STM2140,SALTY02065,SPA_RS17390,STM3580,SALTY03452,OMA02468,OMA04001,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS07560,STM1335,SALTY01283,SPA_RS01820,STM2501,SALTY02410,OMA05847,OMA00303,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS01380,STM2641,SALTY02550,SPA_RS01380,STM2641,SALTY02550,OMA00589,OMA00589,Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS09975,STM0756,SALTY00730,SPA_RS01380,STM2641,SALTY02550,OMA01678,OMA00589,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS05765,STM1724,SALTY01665,SPA_RS05765,STM1724,SALTY01665,OMA00636,OMA00636,Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS11445,STM0447,SALTY00437,SPA_RS10445,STM0664,SALTY00650,OMA01200,OMA03108,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS11595,STM0417,SALTY00406,SPA_RS10445,STM0664,SALTY00650,OMA04471,OMA03108,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS12770,STM2660,SALTY02565,SPA_RS18605,STM3818,SALTY03690,OMA00153,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS07750,STM1298,SALTY01246,SPA_RS18605,STM3818,SALTY03690,OMA00365,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS19930,STM4091,SALTY03944,SPA_RS18605,STM3818,SALTY03690,OMA01081,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS01170,STM0226,SALTY00225,SPA_RS18605,STM3818,SALTY03690,OMA01892,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS12865,STM2681,SALTY02585,SPA_RS18605,STM3818,SALTY03690,OMA03082,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS05475,STM1783,SALTY01721,SPA_RS18605,STM3818,SALTY03690,OMA03764,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS07565,STM1334,SALTY01282,SPA_RS18605,STM3818,SALTY03690,OMA04049,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS19935,STM4092,SALTY03945,SPA_RS18605,STM3818,SALTY03690,OMA04151,OMA03604,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS18605,STM3818,SALTY03690,SPA_RS03050,STM2254,SALTY02172,OMA03604,OMA03692,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS09045,STM0997,SALTY00965,SPA_RS17390,STM3580,SALTY03452,OMA03527,OMA04001,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS22165,STM4561,SALTY04389,SPA_RS17390,STM3580,SALTY03452,OMA03765,OMA04001,Lit_Ecoli_IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS17390,STM3580,SALTY03452,SPA_RS17390,STM3580,SALTY03452,OMA04001,OMA04001,Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS01125,STM0217,SALTY00216,SPA_RS06870,STM1485,SALTY01427,OMA02374,OMA05431,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS16670,STM3421,SALTY03298,SPA_RS07560,STM1335,SALTY01283,OMA04667,OMA05847,Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS18140,STM3727,SALTY03598,SPA_RS07560,STM1335,SALTY01283,OMA06204,OMA05847,Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS09220,STM0962,SALTY00931,SPA_RS17450,SSPA3215,SALPK03345,OMA01042,OMA01339,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS15480,STM3181,SALTY03069,SPA_RS17430,STY4222,SALTI03843,OMA00397,OMA01155,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS12135,STY2051,SALTI01856,SPA_RS12135,STY2051,SALTI01856,OMA05339,OMA05339,Interactome3d,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS05890,STM1700,SALTY01641,SPA_RS01790,STY2748,SALTI02508,OMA02917,OMA04105,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS19465,STM3999,SALTY03851,SPA_RS17495,STY4208,SALTI03830,OMA00097,OMA03524,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS01405,STM2583,SALTY02492,SPA_RS17495,STY4208,SALTI03830,OMA00453,OMA03524,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS05685,STM1740,SALTY01681,SPA_RS00795,STM0153,SALTY00152,OMA04963,OMA00415,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
SPA_RS22025,STM4526,SALTY04357,SPA_RS22020,STM4525,SALTY04356,OMA00038,OMA00606,IntAct,Salmonella_paratyphi_A_ATCC_9150_SARB42,Protein-protein interaction
