Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SARI_RS14955,STM4452,SALTY04285,SARI_RS00045,STM2953,SALTY02848,OMA00261,OMA00594,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS17705,STM3862,SALTY03733,SARI_RS00045,STM2953,SALTY02848,OMA01001,OMA00594,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS00040,STM2954,SALTY02849,SARI_RS00045,STM2953,SALTY02848,OMA02815,OMA00594,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS16695,STM4084,SALTY03937,SARI_RS00045,STM2953,SALTY02848,OMA03070,OMA00594,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS00875,STM2788,SALTY02688,SARI_RS10815,STM0618,SALTY00604,OMA00746,OMA00743,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS10515,STM0689,SALTY00668,SARI_RS10815,STM0618,SALTY00604,OMA01146,OMA00743,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS00885,STM2786,SALTY02686,SARI_RS10815,STM0618,SALTY00604,OMA02091,OMA00743,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS00880,STM2787,SALTY02687,SARI_RS10815,STM0618,SALTY00604,OMA04579,OMA00743,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS14955,STM4452,SALTY04285,SARI_RS17705,STM3862,SALTY03733,OMA00261,OMA01001,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
SARI_RS00040,STM2954,SALTY02849,SARI_RS17705,STM3862,SALTY03733,OMA02815,OMA01001,PMID:31455646,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Metabolic
