Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
,STM3351,SALTY03234,SEAG_RS17695,STM3500,SALTY03374,OMA01270,OMA00607,PMID:31455646,Salmonella_agona_SL483,Metabolic
,STM3351,SALTY03234,SEAG_RS03865,STM0730,SALTY00709,OMA01270,OMA01123,PMID:31455646,Salmonella_agona_SL483,Metabolic
,STM3351,SALTY03234,SEAG_RS02150,STM0369,SALTY00358,OMA01270,OMA01465,PMID:31455646,Salmonella_agona_SL483,Metabolic
,STM3351,SALTY03234,SEAG_RS06140,STM1884,SALTY01823,OMA01270,OMA03656,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS14920,STM2961,SALTY02856,SEAG_RS18700,STM3698,SALTY03569,OMA01025,OMA01095,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22455,STM4425,SALTY04258,SEAG_RS22485,STM4433,SALTY04266,OMA01936,OMA01868,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22450,STM4424,SALTY04257,SEAG_RS22485,STM4433,SALTY04266,OMA02278,OMA01868,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22485,STM4433,SALTY04266,SEAG_RS22455,STM4425,SALTY04258,OMA01868,OMA01936,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22450,STM4424,SALTY04257,SEAG_RS22455,STM4425,SALTY04258,OMA02278,OMA01936,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22485,STM4433,SALTY04266,SEAG_RS17945,STM3553,SALTY03425,OMA01868,OMA03109,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22455,STM4425,SALTY04258,SEAG_RS17945,STM3553,SALTY03425,OMA01936,OMA03109,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS16045,STM3171,SALTY03059,OMA00719,OMA01179,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS16035,STM3169,SALTY03057,OMA00719,OMA02075,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS16040,STM3170,SALTY03058,OMA00719,OMA04280,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS21755,STM4300,SALTY04137,SEAG_RS04025,STM0761,SALTY00735,OMA00572,OMA04037,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS21755,STM4300,SALTY04137,SEAG_RS04030,STM0762,SALTY00736,OMA00572,OMA02461,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS20520,STM4054,SALTY03907,OMA00719,OMA02072,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS18565,STM3673,SALTY03544,OMA00719,OMA02089,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS00840,STM0103,SALTY00102,SEAG_RS18570,STM3674,SALTY03545,OMA00504,OMA00719,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS20515,STM4053,SALTY03906,OMA00719,OMA04167,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22260,STM4387,SALTY04220,SEAG_RS18570,STM3674,SALTY03545,OMA02598,OMA00719,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS22255,STM4386,SALTY04219,SEAG_RS18570,STM3674,SALTY03545,OMA03374,OMA00719,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18575,STM3675,SALTY03546,SEAG_RS18570,STM3674,SALTY03545,OMA03509,OMA00719,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS20510,STM4052,SALTY03905,OMA00719,OMA01188,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS20475,STM4046,SALTY03899,OMA00719,OMA01214,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS18560,STM3672,SALTY03543,OMA00719,OMA01236,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS18540,STM3668,SALTY03539,OMA00719,OMA01981,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS18555,STM3671,SALTY03542,OMA00719,OMA04401,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS14920,STM2961,SALTY02856,SEAG_RS14925,STM2962,SALTY02857,OMA01025,OMA00978,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18570,STM3674,SALTY03545,SEAG_RS00840,STM0103,SALTY00102,OMA00719,OMA00504,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS15580,STM3091,SALTY02980,SEAG_RS11270,STM2189,SALTY02115,OMA00925,OMA00704,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS11265,STM2188,SALTY02114,SEAG_RS11270,STM2189,SALTY02115,OMA02040,OMA00704,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS11275,STM2190,SALTY02116,SEAG_RS11270,STM2189,SALTY02115,OMA02049,OMA00704,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS16445,STM3249,SALTY03135,SEAG_RS14920,STM2961,SALTY02856,OMA02998,OMA01025,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS14920,STM2961,SALTY02856,SEAG_RS14915,STM2960,SALTY02855,OMA01025,OMA01006,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS14915,STM2960,SALTY02855,SEAG_RS14925,STM2962,SALTY02857,OMA01006,OMA00978,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS18175,STM3599,SALTY03471,SEAG_RS21760,STM4301,SALTY04138,OMA01129,OMA01072,PMID:31455646,Salmonella_agona_SL483,Metabolic
SEAG_RS21760,STM4301,SALTY04138,SEAG_RS18175,STM3599,SALTY03471,OMA01072,OMA01129,PMID:31455646,Salmonella_agona_SL483,Metabolic
