Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SPA_RS10445,STM0664,SALTY00650,SPA_RS10440,STM0665,SALTY00651,OMA03108,OMA02306,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10440,STM0665,SALTY00651,SPA_RS10445,STM0664,SALTY00650,OMA02306,OMA03108,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
NA,STM4285,SALTY04122,SPA_RS13770,STM2851,SALTY02746,OMA00258,OMA00449,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
NA,STM4285,SALTY04122,SPA_RS13760,STM2849,SALTY02744,OMA00258,OMA00497,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
NA,STM4285,SALTY04122,SPA_RS13765,STM2850,SALTY02745,OMA00258,OMA02400,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
NA,STM4285,SALTY04122,SPA_RS13775,STM2852,SALTY02747,OMA00258,OMA03678,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
NA,STM4285,SALTY04122,SPA_RS13755,STM2848,SALTY02743,OMA00258,OMA03948,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06445,STM1582,SALTY01523,SPA_RS05765,STM1724,SALTY01665,OMA02586,OMA00636,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS12740,STM0255,SALTY00247,SPA_RS07800,STM1288,SALTY01236,OMA02822,OMA02606,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06050,STM1676,SALTY01616,SPA_RS07800,STM1288,SALTY01236,OMA02527,OMA02606,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07800,STM1288,SALTY01236,SPA_RS12740,STM0255,SALTY00247,OMA02606,OMA02822,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15390,STM3165,SALTY03053,SPA_RS07800,STM1288,SALTY01236,OMA02707,OMA02606,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07800,STM1288,SALTY01236,SPA_RS15390,STM3165,SALTY03053,OMA02606,OMA02707,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS05760,STM1725,SALTY01666,SPA_RS05765,STM1724,SALTY01665,OMA01013,OMA00636,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07800,STM1288,SALTY01236,SPA_RS08910,STM1076,SALTY01032,OMA02606,OMA04434,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS05765,STM1724,SALTY01665,SPA_RS05770,STM1723,SALTY01664,OMA00636,OMA00669,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS05765,STM1724,SALTY01665,SPA_RS02400,STM2384,SALTY02301,OMA00636,OMA01721,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10455,STM0662,SALTY00648,SPA_RS10445,STM0664,SALTY00650,OMA03200,OMA03108,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10450,STM0663,SALTY00649,SPA_RS10445,STM0664,SALTY00650,OMA03472,OMA03108,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10445,STM0664,SALTY00650,SPA_RS10450,STM0663,SALTY00649,OMA03108,OMA03472,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS14355,STM2960,SALTY02855,SPA_RS17995,STM3698,SALTY03569,OMA01006,OMA01095,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15845,STM3255,SALTY03141,SPA_RS02155,STM2432,SALTY02342,OMA00886,OMA00524,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15850,STM3256,SALTY03142,SPA_RS02155,STM2432,SALTY02342,OMA02849,OMA00524,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15855,STM3257,SALTY03143,SPA_RS15840,STM3254,SALTY03140,OMA01187,OMA02345,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS02155,STM2432,SALTY02342,SPA_RS15845,STM3255,SALTY03141,OMA00524,OMA00886,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS02155,STM2432,SALTY02342,SPA_RS15850,STM3256,SALTY03142,OMA00524,OMA02849,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15840,STM3254,SALTY03140,SPA_RS15845,STM3255,SALTY03141,OMA02345,OMA00886,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07610,STM1326,SALTY01274,SPA_RS15845,STM3255,SALTY03141,OMA02353,OMA00886,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15845,STM3255,SALTY03141,SPA_RS15850,STM3256,SALTY03142,OMA00886,OMA02849,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15840,STM3254,SALTY03140,SPA_RS15850,STM3256,SALTY03142,OMA02345,OMA02849,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07610,STM1326,SALTY01274,SPA_RS15850,STM3256,SALTY03142,OMA02353,OMA02849,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15850,STM3256,SALTY03142,SPA_RS15845,STM3255,SALTY03141,OMA02849,OMA00886,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15840,STM3254,SALTY03140,SPA_RS02155,STM2432,SALTY02342,OMA02345,OMA00524,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15835,STM3253,SALTY03139,SPA_RS15840,STM3254,SALTY03140,OMA02053,OMA02345,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07610,STM1326,SALTY01274,SPA_RS15840,STM3254,SALTY03140,OMA02353,OMA02345,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15840,STM3254,SALTY03140,SPA_RS07610,STM1326,SALTY01274,OMA02345,OMA02353,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS11030,STM0532,SALTY00521,SPA_RS18855,STM3877,SALTY03748,OMA02524,OMA02031,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS13460,STM2791,SALTY02691,SPA_RS13465,STM2792,SALTY02692,OMA00850,OMA01204,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS00575,STM0111,SALTY00110,SPA_RS00580,STM0112,SALTY00111,OMA00914,OMA01717,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS00570,STM0110,SALTY00109,SPA_RS00580,STM0112,SALTY00111,OMA03722,OMA01717,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS00575,STM0111,SALTY00110,SPA_RS00570,STM0110,SALTY00109,OMA00914,OMA03722,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10170,STM0719,SALTY00698,SPA_RS09925,STM0775,SALTY00748,OMA01384,OMA01753,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10170,STM0719,SALTY00698,SPA_RS09920,STM0776,SALTY00749,OMA01384,OMA01904,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15835,STM3253,SALTY03139,SPA_RS15855,STM3257,SALTY03143,OMA02053,OMA01187,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS20895,STM4306,SALTY04143,OMA03578,OMA03539,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS09210,STM0964,SALTY00933,OMA03578,OMA00161,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS01680,STM2528,SALTY02437,OMA03578,OMA02847,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS20900,STM4307,SALTY04144,OMA03578,OMA03040,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS01675,STM2529,SALTY02438,OMA03578,OMA03552,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS06810,STM0965,SALTY00934,OMA03578,OMA03577,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06805,STM1499,SALTY01441,SPA_RS09205,STM1497,SALTY01439,OMA00163,OMA03578,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06815,STM1496,SALTY01438,SPA_RS09205,STM1497,SALTY01439,OMA02624,OMA03578,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06810,STM0965,SALTY00934,SPA_RS09205,STM1497,SALTY01439,OMA03577,OMA03578,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS09205,STM1497,SALTY01439,SPA_RS09205,STM1497,SALTY01439,OMA03578,OMA03578,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS21560,STM4453,SALTY04286,SPA_RS02155,STM2432,SALTY02342,OMA00517,OMA00524,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS17125,STM3513,SALTY03387,SPA_RS17825,STM3664,SALTY03535,OMA00291,OMA00306,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS20480,STM4228,SALTY04065,SPA_RS17825,STM3664,SALTY03535,OMA00680,OMA00306,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS11325,STM0472,SALTY00461,SPA_RS17825,STM3664,SALTY03535,OMA03940,OMA00306,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS21560,STM4453,SALTY04286,SPA_RS04700,STM1928,SALTY01867,OMA00517,OMA00867,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS17825,STM3664,SALTY03535,SPA_RS20495,STM4231,SALTY04068,OMA00306,OMA00935,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS21560,STM4453,SALTY04286,SPA_RS02150,STM2433,SALTY02343,OMA00517,OMA04246,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS21560,STM4453,SALTY04286,SPA_RS02160,STM2431,SALTY02341,OMA00517,OMA05597,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS16515,STM3390,SALTY03273,SPA_RS16520,STM3391,SALTY03274,OMA01559,OMA00060,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS16520,STM3391,SALTY03274,SPA_RS16515,STM3390,SALTY03273,OMA00060,OMA01559,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06585,STM1557,SALTY01498,SPA_RS17630,STM3624,SALTY03496,OMA01358,OMA00522,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS04695,STM1929,SALTY01868,SPA_RS21560,STM4453,SALTY04286,OMA02842,OMA00517,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS17825,STM3664,SALTY03535,SPA_RS20480,STM4228,SALTY04065,OMA00306,OMA00680,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS17825,STM3664,SALTY03535,SPA_RS20490,STM4230,SALTY04067,OMA00306,OMA01666,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07710,STM1306,SALTY01254,SPA_RS07720,STM1304,SALTY01252,OMA01051,OMA01866,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS20355,STM4182,SALTY04019,SPA_RS07720,STM1304,SALTY01252,OMA02240,OMA01866,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS01105,STM0213,SALTY00212,SPA_RS07720,STM1304,SALTY01252,OMA02753,OMA01866,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS15370,STM3161,SALTY03049,SPA_RS17630,STM3624,SALTY03496,OMA01083,OMA00522,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS19975,STM4100,SALTY03953,SPA_RS17630,STM3624,SALTY03496,OMA01173,OMA00522,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS10600,STM0628,SALTY00614,SPA_RS12310,STM0320,SALTY00311,OMA03781,OMA01804,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS17630,STM3624,SALTY03496,SPA_RS20355,STM4182,SALTY04019,OMA00522,OMA02240,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
,STM2530,SALTY02439,SPA_RS09205,STM1497,SALTY01439,OMA00176,OMA03578,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS20895,STM4306,SALTY04143,SPA_RS09205,STM1497,SALTY01439,OMA03539,OMA03578,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06255,STM1620,SALTY01561,SPA_RS17965,STM3692,SALTY03563,OMA01436,OMA00577,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06255,STM1620,SALTY01561,SPA_RS20710,STM4273,SALTY04110,OMA01436,OMA00595,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06255,STM1620,SALTY01561,SPA_RS17730,STM3646,SALTY03518,OMA01436,OMA02110,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06255,STM1620,SALTY01561,SPA_RS08600,STM1135,SALTY01088,OMA01436,OMA02231,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06255,STM1620,SALTY01561,SPA_RS16970,STM3482,SALTY03356,OMA01436,OMA03079,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS18775,STM3861,SALTY03732,,STM0840,SALTY00811,OMA00438,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS20445,STM4221,SALTY04058,,STM0840,SALTY00811,OMA00555,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS04915,STM1886,SALTY01825,,STM0840,SALTY00811,OMA00754,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS04700,STM1928,SALTY01867,,STM0840,SALTY00811,OMA00867,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS06960,STM1467,SALTY01410,,STM0840,SALTY00811,OMA01498,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS19790,STM4062,SALTY03915,,STM0840,SALTY00811,OMA02150,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS07610,STM1326,SALTY01274,,STM0840,SALTY00811,OMA02353,OMA03211,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
,STM0840,SALTY00811,SPA_RS20040,STM4109,SALTY03962,OMA03211,OMA03544,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS12365,STM0309,SALTY00301,SPA_RS10760,STM0596,SALTY00582,OMA00175,OMA00612,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS12365,STM0309,SALTY00301,SPA_RS02375,STM2389,SALTY02306,OMA00175,OMA01170,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
SPA_RS08615,STM1133,SALTY01087,SPA_RS17255,STM3553,SALTY03425,OMA01632,OMA03109,PMID:31455646,Salmonella_paratyphi_A_ATCC_9150_SARB42,Metabolic
