Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
SL1344_RS02930,STM0580,SALTY00566,SL1344_RS13770,SL1344_2642,SALTS02630,OMA03830,OMA04331,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS04660,STM0959,SALTY00928,SL1344_RS13770,SL1344_2642,SALTS02630,OMA04295,OMA04331,Salm,Salmonella_typhimurium_SL1344,Regulatory
,STM1339,SALTY01287,SL1344_RS10745,STM2089,SALTY02015,OMA05341,OMA02383,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS22915,STM4467,SALTY04299,SL1344_RS22755,STM4435,SALTY04268,OMA01319,OMA02798,Salm,Salmonella_typhimurium_SL1344,Regulatory
,STM1339,SALTY01287,SL1344_RS18830,STM3653,SALTY03525,OMA05341,OMA04365,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS22915,STM4467,SALTY04299,SL1344_RS26650,STM1629,SALTY01570,OMA01319,OMA04707,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS22035,STM4292,SALTY04129,SL1344_RS26650,STM1629,SALTY01570,OMA03507,OMA04707,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS17485,STM3385,SALTY03268,,STM0065,SALTY00064,OMA05327,OMA05063,Exp(HT),Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS22035,STM4292,SALTY04129,SL1344_RS09660,STM1931,SALTY01869,OMA03507,OMA03997,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS22035,STM4292,SALTY04129,SL1344_RS09665,STM1932,SALTY01870,OMA03507,OMA04212,Salm,Salmonella_typhimurium_SL1344,Regulatory
,STM1339,SALTY01287,SL1344_RS14585,STM2816,SALTY02716,OMA05341,OMA00922,Salm,Salmonella_typhimurium_SL1344,Regulatory
,STM1339,SALTY01287,SL1344_RS14885,STM2875,SALTY02770,OMA05341,OMA02238,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS02935,STM0581,SALTY00567,SL1344_RS01090,STM0215,SALTY00214,OMA05046,OMA02833,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS02935,STM0581,SALTY00567,SL1344_RS01095,STM0216,SALTY00215,OMA05046,OMA03201,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS23145,STM4511,SALTY04342,SL1344_RS23160,STM4514,SALTY04345,OMA02349,OMA02511,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS02935,STM0581,SALTY00567,SL1344_RS23160,STM4514,SALTY04345,OMA05046,OMA02511,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS17890,STM3466,SALTY03341,SL1344_RS06055,STM1227,SALTY01179,OMA03616,OMA01322,Salm,Salmonella_typhimurium_SL1344,Regulatory
SL1344_RS17890,STM3466,SALTY03341,SL1344_RS06050,STM1226,SALTY01178,OMA03616,OMA01583,Salm,Salmonella_typhimurium_SL1344,Regulatory
