Node_1_locus_tag,Node_1_gene_name,Node_1_oma_id,Node_2_locus_tag,Node_2_gene_name,Node_2_oma_id,Node_1_orthology_group_id,Node_2_orthology_group_id,Source,Strain,Layer
,STM0054,SALTY00054,SEN_RS17305,STM3500,SALTY03374,OMA01244,OMA00607,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
,STM0054,SALTY00054,SEN_RS03505,STM0730,SALTY00709,OMA01244,OMA01123,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
,STM0054,SALTY00054,SEN_RS01805,STM0369,SALTY00358,OMA01244,OMA01465,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
,STM0054,SALTY00054,SEN_RS05810,STM1884,SALTY01823,OMA01244,OMA03656,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS14605,STM2961,SALTY02856,SEN_RS18310,STM3698,SALTY03569,OMA01025,OMA01095,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS18190,STM3674,SALTY03545,SEN_RS15675,STM3171,SALTY03059,OMA00719,OMA01179,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS18190,STM3674,SALTY03545,SEN_RS15665,STM3169,SALTY03057,OMA00719,OMA02075,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS18190,STM3674,SALTY03545,SEN_RS15670,STM3170,SALTY03058,OMA00719,OMA04280,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS21195,STM4300,SALTY04137,SEN_RS03665,STM0761,SALTY00735,OMA00572,OMA04037,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS21195,STM4300,SALTY04137,SEN_RS03670,STM0762,SALTY00736,OMA00572,OMA02461,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS18190,STM3674,SALTY03545,,STM4054,SALTY03907,OMA00719,OMA02072,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS18190,STM3674,SALTY03545,SEN_RS18185,STM3673,SALTY03544,OMA00719,OMA02089,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
SEN_RS00525,STM0103,SALTY00102,SEN_RS18190,STM3674,SALTY03545,OMA00504,OMA00719,PMID:31455646,Salmonella_enteritidis_PT4_P125109,Metabolic
